class,term,week,subject,topic,agegroup,context
Jss 3,Noel Term,1,Basic Science,"Family Traits",12-13,"Study of inherited characteristics like skin color, height, and albinism; understanding dominant and recessive traits in families"
Jss 3,Noel Term,2,Basic Science,"Environmental Hazards I: Soil Erosion and Flooding",12-13,"Understanding causes and effects of soil erosion and flooding; exploring drainage patterns and prevention methods"
Jss 3,Noel Term,3,Basic Science,"Environmental Hazards II: Bush Burning and Deforestation",12-13,"Examining the causes and effects of bush burning and deforestation on the environment and their economic consequences"
Jss 3,Noel Term,4,Basic Science,"Environmental Hazards III: Desertification and Ozone Layer Depletion",12-13,"Learning about desertification, its control measures, and the importance of the ozone layer in protecting life on Earth"
Jss 3,Noel Term,5,Basic Science,"Drug and Substance Abuse",12-13,"Understanding the effects of drug abuse on youth and families; role of NAFDAC and NDLEA in drug control"
Jss 3,Noel Term,6,Basic Science,"Resources from Living Things",12-13,"Identifying plant and animal resources such as crops, dyes, drugs, hides, and dairy products and their economic importance"
Jss 3,Noel Term,7,Basic Science,"Resources from Non-Living Things",12-13,"Studying solid minerals like limestone, coal, gold, and tin; their locations in Nigeria and economic uses"
Jss 3,Noel Term,8,Basic Science,"Light Energy: Reflection and Refraction",12-13,"Exploring how light reflects and refracts; understanding apparent depth, vision, and dispersion of light to form rainbows"
Jss 3,Noel Term,9,Basic Science,"Sound Energy",12-13,"Learning how sound is produced through vibration, how it travels and reflects, and the process of hearing"
Jss 3,Noel Term,10,Basic Science,"Magnetism",12-13,"Understanding loadstone as natural magnet, laws of magnetism, magnetic poles and fields, and proper care of magnets"
Jss 3,Calvary Term,1,Basic Science,"Electrical Energy: Flow of Electrons and Circuits",12-13,"Learning about electron flow in circuits; setting up series and parallel circuits with practical applications"
Jss 3,Calvary Term,2,Basic Science,"Electrical Safety: Fuses and Circuit Breakers",12-13,"Understanding the functions of fuses and circuit breakers in house wiring; learning about electrical safety and overloading"
Jss 3,Calvary Term,3,Basic Science,"Electric Meter Reading and Billing",12-13,"Learning to read electric meters and calculate energy consumption and costs for household electricity usage"
Jss 3,Calvary Term,4,Basic Science,"Radioactivity: Introduction and Radioactive Elements",12-13,"Understanding radioactivity and identifying common radioactive elements like uranium, radium, and thorium"
Jss 3,Calvary Term,5,Basic Science,"Types of Radiation and Their Properties",12-13,"Learning about alpha, beta, and gamma radiation; their properties, penetrating power, and distinguishing characteristics"
Jss 3,Calvary Term,6,Basic Science,"Uses and Dangers of Radioactivity",12-13,"Exploring practical applications of radiation in medicine, industry, and agriculture; understanding radiation safety and hazards"
Jss 3,Calvary Term,7,Basic Science,"Skill Acquisition: Meaning and Importance",12-13,"Understanding the concept of skill acquisition and why developing practical skills is important for personal development"
Jss 3,Calvary Term,8,Basic Science,"Types of Skills and Their Applications",12-13,"Exploring various skills like farming, computer literacy, photography, desktop publishing, and their relevance to modern life"
Jss 3,Calvary Term,9,Basic Science,"Ethical Issues in Science: Right and Wrong Applications",12-13,"Examining good and bad scientific practices; understanding the impact of science on individual and societal development"
Jss 3,Calvary Term,10,Basic Science,"Science and Development: Impact on Society",12-13,"Analyzing how scientific applications affect society positively and negatively; conducting projects on scientific practices"
Jss 3,Summer Term,1,Basic Science,"Review of Family Genetics and Heredity",12-13,"Revisiting concepts of dominant and recessive traits; practical applications in understanding family genealogy"
Jss 3,Summer Term,2,Basic Science,"Environmental Conservation Practices",12-13,"Comprehensive review of methods to prevent erosion, flooding, bush burning, deforestation, and desertification"
Jss 3,Summer Term,3,Basic Science,"Health Education: Drug Abuse Prevention Strategies",12-13,"Developing coping skills and healthy lifestyles to maintain a drug-free life; community awareness programs"
Jss 3,Summer Term,4,Basic Science,"Natural Resources Management",12-13,"Sustainable use and conservation of resources from both living and non-living things for economic development"
Jss 3,Summer Term,5,Basic Science,"Energy in Our Daily Lives",12-13,"Practical applications of light, sound, and electrical energy in everyday situations and modern technology"
Jss 3,Summer Term,6,Basic Science,"Practical Electricity: Building Simple Circuits",12-13,"Hands-on experience in constructing series and parallel circuits; using ammeters and voltmeters for measurements"
Jss 3,Summer Term,7,Basic Science,"Magnetic Applications in Technology",12-13,"Real-world applications of magnetism in compasses, motors, generators, and modern electronic devices"
Jss 3,Summer Term,8,Basic Science,"Modern Applications of Radioactivity",12-13,"Exploring current uses of radioactivity in cancer treatment, food preservation, and carbon dating"
Jss 3,Summer Term,9,Basic Science,"Entrepreneurship Through Skill Acquisition",12-13,"Connecting acquired skills to business opportunities; planning for self-employment and community development"
Jss 3,Summer Term,10,Basic Science,"Science, Technology and Sustainable Development",12-13,"Understanding the role of science and technology in achieving sustainable development goals for the future"
