class,term,week,subject,topic,agegroup,context
Jss 3,Noel Term,1,Basic Technology,"Timber Processing: Key Concepts",12-13,"Understanding timber growth, felling, conversion, and seasoning processes in wood production"
Jss 3,Noel Term,2,Basic Technology,"Properties of Good Timber and Common Defects",12-13,"Identifying properties of quality timber and common defects like twist, bowing, cupping, and warping"
Jss 3,Noel Term,3,Basic Technology,"Timber Treatment and Preservation",12-13,"Learning methods of treating and preserving timber; understanding importance of timber treatment for durability"
Jss 3,Noel Term,4,Basic Technology,"Metal Processing Methods",12-13,"Understanding smelting, casting, forging, and other metal processing techniques; their advantages and disadvantages"
Jss 3,Noel Term,5,Basic Technology,"Metal Alloys: Properties and Uses",12-13,"Identifying common metal alloys like brass, bronze, steel; understanding their properties and applications"
Jss 3,Noel Term,6,Basic Technology,"Processing Clay, Ceramics and Glass",12-13,"Learning methods of processing clay, ceramics, and glass materials; their production processes and uses"
Jss 3,Noel Term,7,Basic Technology,"Clay and Ceramic Product Production",12-13,"Practical production of simple household wares using clay and ceramics; understanding kiln firing processes"
Jss 3,Noel Term,8,Basic Technology,"Plastics and Rubber: Differences and Processing",12-13,"Understanding differences between plastics and rubber; learning injection molding, extrusion, and blow molding processes"
Jss 3,Noel Term,9,Basic Technology,"Uses and Applications of Plastics and Rubber",12-13,"Exploring various uses of plastic and rubber products in everyday life and industrial applications"
Jss 3,Noel Term,10,Basic Technology,"Advantages and Disadvantages of Material Processing",12-13,"Comparing processing methods for timber, metals, ceramics, plastics, and rubber; evaluating their pros and cons"
Jss 3,Calvary Term,1,Basic Technology,"Isometric Drawing",12-13,"Learning to draw three-dimensional objects using isometric projection; practicing simple shaped blocks without curves"
Jss 3,Calvary Term,2,Basic Technology,"Oblique Drawing",12-13,"Understanding oblique drawing techniques; practicing simple oblique drawings of objects with depth"
Jss 3,Calvary Term,3,Basic Technology,"Orthographic Projection: Principles and Components",12-13,"Understanding principal planes, angles of projection, and principal views in first and third angle projection"
Jss 3,Calvary Term,4,Basic Technology,"Orthographic Views and Dimensioning",12-13,"Drawing orthographic views of simple objects; learning proper dimensioning techniques for working drawings"
Jss 3,Calvary Term,5,Basic Technology,"One-Point Perspective Drawing",12-13,"Understanding principles of one-point perspective; practicing perspective drawings of simple shaped blocks"
Jss 3,Calvary Term,6,Basic Technology,"Scales and Scale Drawing",12-13,"Learning full size (1:1), scale reduction (1:5, 1:10, 1:100), and scale enlargement (2:1, 3:1) in drawings"
Jss 3,Calvary Term,7,Basic Technology,"Building Plans and Blueprints",12-13,"Interpreting symbols on building plans; identifying components like doors, windows, sinks, septic tanks"
Jss 3,Calvary Term,8,Basic Technology,"Blueprint Reading and Drawing Techniques",12-13,"Reading and interpreting architectural drawings; practicing drawing plans of classroom and simple buildings"
Jss 3,Calvary Term,9,Basic Technology,"Architectural Symbols and Components",12-13,"Learning common symbols for sanitary wares, fittings, electrical outlets used in building plans and blueprints"
Jss 3,Calvary Term,10,Basic Technology,"Technical Drawing Applications",12-13,"Integrating isometric, oblique, orthographic, and perspective drawing skills for complete technical documentation"
Jss 3,Summer Term,1,Basic Technology,"Woodwork Projects: Planning and Design",12-13,"Selecting appropriate tools and materials for woodwork; designing simple furniture like stools, tables, shelves"
Jss 3,Summer Term,2,Basic Technology,"Woodwork Projects: Construction",12-13,"Practical construction of household furniture using measuring, marking, cutting, joining, and polishing techniques"
Jss 3,Summer Term,3,Basic Technology,"Metalwork Projects: Design and Fabrication",12-13,"Producing bottle openers, trash bins, coal pots, stools from metal sheets and rods using metalwork tools"
Jss 3,Summer Term,4,Basic Technology,"Metalwork Projects: Finishing",12-13,"Completing metalwork projects using cutting, filing, drilling, bending, and finishing techniques"
Jss 3,Summer Term,5,Basic Technology,"Soldering: Principles and Practice",12-13,"Understanding soldering process, tools, and materials; joining metals using soft and hard soldering techniques"
Jss 3,Summer Term,6,Basic Technology,"Brazing: Techniques and Applications",12-13,"Learning brazing operations, tools, and materials; practicing metal joining through high-temperature brazing"
Jss 3,Summer Term,7,Basic Technology,"Machine Motions: Linear Motion",12-13,"Understanding linear motion in mechanical systems; using levers, linkages, slides, and slots to produce linear movement"
Jss 3,Summer Term,8,Basic Technology,"Rotary Motion: One-Way and Reversible",12-13,"Learning about rotary motion in car shafts, cranes; understanding brakes, clutches, and ratchet mechanisms"
Jss 3,Summer Term,9,Basic Technology,"Converting Rotary to Linear Motion",12-13,"Understanding rack and pinion, screws, crank and slider, connecting rod and piston systems for motion conversion"
Jss 3,Summer Term,10,Basic Technology,"Mechanical Systems and Applications",12-13,"Integrating knowledge of material processing, drawing, and machine motions for practical mechanical projects"
