class,term,week,subject,topic,agegroup,context
Jss 2,Noel Term,1,Agriculture,"Farm Structures: Types and Description",11-12,"Understanding farm structures like barns, silos, rhombus, paddocks, fish ponds and their characteristics"
Jss 2,Noel Term,2,Agriculture,"Farm Buildings and Their Uses",11-12,"Learning about farm buildings: poultry houses, pens, stores, offices, utility buildings, security posts and their functions"
Jss 2,Noel Term,3,Agriculture,"Maintenance of Farm Structures and Buildings",11-12,"Understanding methods and importance of maintaining farm structures and buildings to ensure durability and functionality"
Jss 2,Noel Term,4,Agriculture,"Crop Propagation: Meaning and Methods",11-12,"Understanding propagation as plant reproduction; learning sexual (by seed) and asexual (vegetative organs) methods"
Jss 2,Noel Term,5,Agriculture,"Advantages of Seed Propagation",11-12,"Learning benefits of seed propagation: easy to carry, store, procure, and sow for crop production"
Jss 2,Noel Term,6,Agriculture,"Advantages of Vegetative Propagation",11-12,"Understanding benefits: more disease resistant, early maturity, withstands adverse conditions; using stems, roots, leaves"
Jss 2,Noel Term,7,Agriculture,"Disadvantages of Propagation Methods",11-12,"Learning drawbacks of seed propagation (dormancy, reduces consumption) and vegetative propagation (disease transfer, storage issues)"
Jss 2,Noel Term,8,Agriculture,"Cultural Practices in Crop Production",11-12,"Understanding thinning, supplying (gap filling), mulching, and other farm management practices for crop growth"
Jss 2,Noel Term,9,Agriculture,"Pre-Planting Operations",11-12,"Learning site selection, land clearing, stumping, plotting, tilling, ploughing, harrowing, ridging, and seed selection"
Jss 2,Noel Term,10,Agriculture,"Nursery and Nursery Practices",11-12,"Understanding nursery establishment, seedling care, transplanting techniques for successful crop establishment"
Jss 2,Calvary Term,1,Agriculture,"Planting Operations",11-12,"Learning seed treatment methods, proper spacing, and planting techniques for different crops"
Jss 2,Calvary Term,2,Agriculture,"Post-Planting Operations",11-12,"Understanding thinning, supplying, mulching, manuring, fertilizer application for crop development and growth"
Jss 2,Calvary Term,3,Agriculture,"Harvesting: Timing and Methods",11-12,"Learning proper harvesting time, methods, and effects of timely versus late harvesting on crop quality"
Jss 2,Calvary Term,4,Agriculture,"Post-Harvest Operations",11-12,"Understanding crop processing into useable forms, storage methods, and preservation techniques"
Jss 2,Calvary Term,5,Agriculture,"Animal Feeds: Meaning and Types",11-12,"Learning about animal feed, types of feedstuffs: energy-yielding feeds and protein-yielding feeds"
Jss 2,Calvary Term,6,Agriculture,"Feeding Tools and Equipment",11-12,"Understanding feeding tools like troughs, drinker sets; using feedstuffs to feed farm animals properly"
Jss 2,Calvary Term,7,Agriculture,"Farm Animal Diseases and Causative Organisms",11-12,"Learning diseases caused by bacteria, fungi, viruses, protozoa, worms: mastitis, ringworm, foot-and-mouth, coccidiosis"
Jss 2,Calvary Term,8,Agriculture,"Transmission and Symptoms of Animal Diseases",11-12,"Understanding modes of transmission (contact, vectors) and symptoms: fever, diarrhea, weight loss, reduced productivity"
Jss 2,Calvary Term,9,Agriculture,"Effects and Control of Animal Diseases",11-12,"Learning disease effects on productivity; prevention through sanitation, medication, immunization, isolation"
Jss 2,Calvary Term,10,Agriculture,"Visit to Abattoir and Meat Inspection",11-12,"Practical exposure to meat inspection, understanding disease identification and food safety in livestock production"
Jss 2,Summer Term,1,Agriculture,"Fishery: Definition and Classification",11-12,"Understanding fishery; classifying fish by habitat (freshwater, saltwater) and morphology (bony, cartilaginous)"
Jss 2,Summer Term,2,Agriculture,"Types of Aquatic Organisms",11-12,"Learning about shellfish (crab, prawn), reptiles (turtle, crocodile), mammals (hippopotamus, whale) in fisheries"
Jss 2,Summer Term,3,Agriculture,"Uses of Fish and Fish Products",11-12,"Understanding fish as food source, income generation, protein supply, and other economic benefits"
Jss 2,Summer Term,4,Agriculture,"Methods of Fishing",11-12,"Learning different fishing techniques using nets, hooks, baskets, and traps for catching fish"
Jss 2,Summer Term,5,Agriculture,"Risk Factors in Fish Farming",11-12,"Understanding water pollution from chemicals, industrial effluents, and contamination from fishing chemicals"
Jss 2,Summer Term,6,Agriculture,"Types of Forests in Nigeria",11-12,"Learning about mangrove forests (swampy), rainforests (many trees), derived forests (few trees) and their characteristics"
Jss 2,Summer Term,7,Agriculture,"Forest Resources",11-12,"Understanding forest resources: trees, wildlife, fruits, herbs, shelter and their importance to humans"
Jss 2,Summer Term,8,Agriculture,"Uses of Forest Resources",11-12,"Learning economic, environmental, and social uses of forest products like timber, fruits, medicinal herbs, wildlife"
Jss 2,Summer Term,9,Agriculture,"Effects of Forest on Environment",11-12,"Understanding how forests influence climate, prevent erosion, purify air, provide habitat for wildlife and biodiversity"
Jss 2,Summer Term,10,Agriculture,"Human Activities Affecting Forests",11-12,"Learning about deforestation, bush burning, hunting, farming activities that deplete forest resources and wildlife"
