class,term,week,subject,topic,agegroup,context
Jss 3,Noel Term,1,Civic Education,"Introduction to Constitution",12-13,"Understanding the meaning and concept of constitution as the supreme law of a nation"
Jss 3,Noel Term,2,Civic Education,"Colonial Nigerian Constitutions: Early Period (1922-1946)",12-13,"Study of Clifford Constitution 1922 and Richards Constitution 1946; their features and limitations"
Jss 3,Noel Term,3,Civic Education,"Colonial Nigerian Constitutions: Late Period (1951-1960)",12-13,"Examining Macpherson Constitution 1951, Lyttleton Constitution 1954, and 1960 Independence Constitution"
Jss 3,Noel Term,4,Civic Education,"Features of Colonial Constitutions",12-13,"Analyzing common characteristics and provisions of constitutions during British colonial rule in Nigeria"
Jss 3,Noel Term,5,Civic Education,"Post-Independence Constitutions I",12-13,"Study of 1963 Republican Constitution and 1979 Presidential Constitution; their unique features"
Jss 3,Noel Term,6,Civic Education,"Post-Independence Constitutions II",12-13,"Examining 1989 and 1999 Presidential Constitutions; understanding democratic development in Nigeria"
Jss 3,Noel Term,7,Civic Education,"Supremacy of the Constitution",12-13,"Understanding why the constitution is the highest law; uniform application to all states and individuals"
Jss 3,Noel Term,8,Civic Education,"Right Attitude to Work: Meaning and Attributes",12-13,"Exploring honesty, discipline, integrity, commitment, punctuality, and diligence as work ethics"
Jss 3,Noel Term,9,Civic Education,"Rewards of Right Attitude to Work",12-13,"Understanding benefits like higher productivity, efficiency, progress, recognition, and improved national image"
Jss 3,Noel Term,10,Civic Education,"Consequences of Wrong Attitude to Work",12-13,"Examining effects like declining productivity, lack of motivation, indiscipline, and national disasters"
Jss 3,Calvary Term,1,Civic Education,"Negative Behaviour in Society",12-13,"Understanding dishonesty, excessive love of money, ostentatious living, and disregard for time (African time)"
Jss 3,Calvary Term,2,Civic Education,"Types of Negative Behaviour",12-13,"Examining drug trafficking, examination malpractice, cultism, and other anti-social behaviors"
Jss 3,Calvary Term,3,Civic Education,"Effects of Negative Behaviour on Society",12-13,"Analyzing consequences like value disorientation, inefficiency, and high crime rates in communities"
Jss 3,Calvary Term,4,Civic Education,"Promoting Positive Behavioural Changes",12-13,"Strategies and sanctions for discouraging negative behavior and encouraging acceptable conduct"
Jss 3,Calvary Term,5,Civic Education,"Elections: Meaning and Importance",12-13,"Understanding the electoral process and why elections are crucial for democracy and good governance"
Jss 3,Calvary Term,6,Civic Education,"Electoral Bodies in Nigeria",12-13,"Study of INEC (Independent National Electoral Commission) and SIEC (State Independent Electoral Commission)"
Jss 3,Calvary Term,7,Civic Education,"Free and Fair Elections",12-13,"Understanding the need for transparent electoral processes and credible election outcomes"
Jss 3,Calvary Term,8,Civic Education,"Electoral Malpractices and Prevention",12-13,"Identifying types of electoral fraud in Nigeria and methods to prevent rigging and manipulation"
Jss 3,Calvary Term,9,Civic Education,"Voting: Meaning and Importance",12-13,"Understanding civic responsibility of voting and how citizens participate in choosing their leaders"
Jss 3,Calvary Term,10,Civic Education,"Voters' Registration and Electoral Process",12-13,"Learning about voter registration requirements, procedures, and the complete voting process"
Jss 3,Summer Term,1,Civic Education,"Constitutional Development in Nigeria",12-13,"Comprehensive review of Nigeria's constitutional journey from colonial era to present day"
Jss 3,Summer Term,2,Civic Education,"Comparing Colonial and Post-Independence Constitutions",12-13,"Analyzing differences and similarities between constitutions before and after 1960 independence"
Jss 3,Summer Term,3,Civic Education,"The Constitution and Rule of Law",12-13,"Understanding how constitutional supremacy ensures equality, justice, and protection of rights"
Jss 3,Summer Term,4,Civic Education,"Work Ethics and National Development",12-13,"Connecting positive work attitudes to economic growth, productivity, and nation-building"
Jss 3,Summer Term,5,Civic Education,"Value Orientation in Nigerian Society",12-13,"Examining cultural values, ethics, and moral standards that promote societal progress"
Jss 3,Summer Term,6,Civic Education,"Anti-Corruption Agencies and Their Roles",12-13,"Study of ICPC, EFCC, NAFDAC, and NDLEA in fighting corruption and promoting good behavior"
Jss 3,Summer Term,7,Civic Education,"Democratic Principles and Practices",12-13,"Understanding fundamental democratic values like participation, accountability, and transparency"
Jss 3,Summer Term,8,Civic Education,"Electoral Reforms in Nigeria",12-13,"Examining improvements in Nigeria's electoral system and the role of technology in elections"
Jss 3,Summer Term,9,Civic Education,"Youth Participation in Democracy",12-13,"Encouraging active citizenship, political awareness, and youth involvement in democratic processes"
Jss 3,Summer Term,10,Civic Education,"Building a Better Nigeria Through Civic Responsibility",12-13,"Integrating lessons on constitution, values, and democracy for national transformation"
