class,term,week,subject,topic,agegroup,context
Jss 1,Noel Term,1,Cultural And Creative Arts,"Introduction to Arts: Definition and History",10-11,"Understanding what art is, tracing history and origin from early man to Nigerian arts; exploring how art has evolved"
Jss 1,Noel Term,2,Cultural And Creative Arts,"Categories and Types of Art",10-11,"Learning about textile design, ceramics design, graphics design, and aesthetics (beautification and decoration)"
Jss 1,Noel Term,3,Cultural And Creative Arts,"Introduction to Crafts and Types",10-11,"Understanding crafts; learning fabric craft (tie-dye), paper craft (kites), carving (sculpture), woven craft (basketry)"
Jss 1,Noel Term,4,Cultural And Creative Arts,"Tie and Dye: Materials and Methods",10-11,"Learning materials (fabric, dye, caustic soda, bowls, gloves) and methods (tying, clamping, folding) for tie-dye"
Jss 1,Noel Term,5,Cultural And Creative Arts,"Practical Tie and Dye Production",10-11,"Preparing dye bath, designing fabric using different tying methods, dyeing fabric, and displaying finished products"
Jss 1,Noel Term,6,Cultural And Creative Arts,"Paper Craft Using Folding Technique",10-11,"Learning paper craft; using folding methods (square, triangular, rectangular, pleating) to make kites, greeting cards, hand fans"
Jss 1,Noel Term,7,Cultural And Creative Arts,"Collage Production",10-11,"Understanding collage making; using colored magazines, scissors, glue, cardboard to create artistic collage compositions"
Jss 1,Noel Term,8,Cultural And Creative Arts,"Modelling with Paper Mache",10-11,"Learning to prepare paper mache from old newspapers; moulding household items like plates, cups, vases, decorations"
Jss 1,Noel Term,9,Cultural And Creative Arts,"Bead Work and Jewellery Making",10-11,"Making beaded jewellery using beads, rolled paper, seeds, straw, bottle tops; creating necklaces, bangles, earrings"
Jss 1,Noel Term,10,Cultural And Creative Arts,"Mosaics: Materials and Production",10-11,"Understanding mosaics; using broken bottles, china ware, bottle tops, beads to make wall hangings, greeting cards, jewellery"
Jss 1,Calvary Term,1,Cultural And Creative Arts,"Theory of Music: Fundamentals",10-11,"Learning music fundamentals: pitch, melody, harmony, rhythm, texture, timbre, form; identifying notes on keyboard"
Jss 1,Calvary Term,2,Cultural And Creative Arts,"Ear Training and Harmony",10-11,"Developing aural skills to recognize music; learning rudiments of two-part and four-part harmony in singing"
Jss 1,Calvary Term,3,Cultural And Creative Arts,"Rudiments of Music",10-11,"Learning musical alphabets, clef signs, staff/staves (treble, bass, great stave), musical notes and their values"
Jss 1,Calvary Term,4,Cultural And Creative Arts,"Major Scale of C Natural",10-11,"Understanding and constructing diatonic scale; singing scales using solfa names; identifying notes on keyboard"
Jss 1,Calvary Term,5,Cultural And Creative Arts,"Playing the Recorder",10-11,"Learning about soprano, alto, tenor recorders; understanding key signatures; practicing basic steps to play recorder"
Jss 1,Calvary Term,6,Cultural And Creative Arts,"Uses and Impact of Music",10-11,"Understanding music uses: rituals, ceremonies, advertisement, healing, work, communication, education; music's societal impact"
Jss 1,Calvary Term,7,Cultural And Creative Arts,"Definition of Drama and Theatre",10-11,"Understanding drama as imitation of action; theatre as performance place; people involved: playwright, director, actor, audience"
Jss 1,Calvary Term,8,Cultural And Creative Arts,"Functions of Drama",10-11,"Learning drama functions: education (teaching values), information, entertainment, therapeutic healing, community development"
Jss 1,Calvary Term,9,Cultural And Creative Arts,"Elements of Drama",10-11,"Identifying drama elements: script/plot, characters, stage/setting, audience, sound/music, lights; creating and recognizing elements"
Jss 1,Calvary Term,10,Cultural And Creative Arts,"Forms and Origin of Drama",10-11,"Understanding comedy and tragedy as basic forms; learning drama originated from mimesis, ritual, and storytelling"
Jss 1,Summer Term,1,Cultural And Creative Arts,"Playwriting and Playwrights",10-11,"Understanding playwriting; learning about classical, modern, contemporary playwrights; duties of playwright in creating plays"
Jss 1,Summer Term,2,Cultural And Creative Arts,"The Play Director",10-11,"Learning about director as theatre boss; understanding duties: coordinating production, casting actors, interpreting scripts, blocking movements"
Jss 1,Summer Term,3,Cultural And Creative Arts,"Costume and Make-up in Drama",10-11,"Understanding costume as clothing/accessories; learning make-up types (straight, character); using powder, lipstick, wigs, chalk"
Jss 1,Summer Term,4,Cultural And Creative Arts,"Definition and Uses of Dance",10-11,"Understanding dance as body movement in space and time to express ideas; learning dance entertains, informs, enlivens occasions"
Jss 1,Summer Term,5,Cultural And Creative Arts,"Performing Dance Movements",10-11,"Practicing various dance movements expressing different ideas and emotions; understanding components: movement, space, time, expression"
Jss 1,Summer Term,6,Cultural And Creative Arts,"Introduction to Choreography",10-11,"Understanding choreography as art of making/arranging dances; learning principles: order, beauty, variety; role of choreographer"
Jss 1,Summer Term,7,Cultural And Creative Arts,"Contemporary Dance",10-11,"Learning contemporary dance as departure from traditional/ballet; understanding features: individual style, creativity, no fixed movements"
Jss 1,Summer Term,8,Cultural And Creative Arts,"Performing Contemporary Dance",10-11,"Practicing contemporary dance movements; watching dance videos; performing solo or group contemporary dance pieces"
Jss 1,Summer Term,9,Cultural And Creative Arts,"Team Work and Sense of Belonging",10-11,"Understanding importance of teamwork; learning how to achieve sense of belonging in community through cooperation and unity"
Jss 1,Summer Term,10,Cultural And Creative Arts,"Consequences of Fake and Adulterated Goods",10-11,"Understanding fake goods (medicine, food, clothing); learning why people produce them; roles of NAFDAC, SON, NDLEA in prevention"
