class,term,week,subject,topic,agegroup,context
Jss 2,Noel Term,1,Home Economics,"Family Resources: Meaning and Types",11-12,"Understanding what family resources are and identifying different types: human, material, time, energy, and money"
Jss 2,Noel Term,2,Home Economics,"Importance of Family Resources",11-12,"Learning why family resources are important and how they contribute to family wellbeing and development"
Jss 2,Noel Term,3,Home Economics,"Decision Making: Meaning and Process",11-12,"Understanding what decision making is and learning the systematic steps involved in making good decisions"
Jss 2,Noel Term,4,Home Economics,"Steps in Decision Making",11-12,"Practicing the steps: identifying the problem, gathering information, considering alternatives, making choice, and evaluating results"
Jss 2,Noel Term,5,Home Economics,"Personal and Family Decisions",11-12,"Making simple personal decisions and understanding common family decisions using decision-making steps learned"
Jss 2,Noel Term,6,Home Economics,"Household Linen: Types and Selection",11-12,"Identifying types of household linen (bedsheets, towels, tablecloths) and factors for selecting quality linen"
Jss 2,Noel Term,7,Home Economics,"Maintenance of Household Linen",11-12,"Learning proper procedures for washing, ironing, storing, and maintaining different types of household linen"
Jss 2,Noel Term,8,Home Economics,"Clothing Storage Methods",11-12,"Understanding different methods of storing family clothing: hanging, folding, and using storage containers properly"
Jss 2,Noel Term,9,Home Economics,"Simple Clothing Repairs",11-12,"Learning basic clothing repairs: sewing loose buttons, mending torn garments, fixing hems, and patching holes"
Jss 2,Noel Term,10,Home Economics,"Care of Family Clothing",11-12,"Understanding proper washing, ironing, and storage techniques to maintain clothing quality and longevity"
Jss 2,Calvary Term,1,Home Economics,"Pattern Drafting and Fashion Designing",11-12,"Understanding the meaning of pattern drafting and fashion designing; their importance in clothing construction"
Jss 2,Calvary Term,2,Home Economics,"Pattern Drafting Tools and Equipment",11-12,"Identifying tools: tape measure, ruler, pencil, French curve, tracing wheel, dressmaker's carbon, brown paper"
Jss 2,Calvary Term,3,Home Economics,"Body Measurements for Pattern Drafting",11-12,"Learning parts of the body to be measured: bust, waist, hip, shoulder, back length, and sleeve length"
Jss 2,Calvary Term,4,Home Economics,"Taking Accurate Body Measurements",11-12,"Practicing proper techniques for taking body measurements accurately for pattern drafting purposes"
Jss 2,Calvary Term,5,Home Economics,"Drafting Basic Bodice Pattern",11-12,"Learning step-by-step instructions for drafting basic bodice pattern using personal measurements"
Jss 2,Calvary Term,6,Home Economics,"Drafting Basic Skirt Pattern",11-12,"Understanding and practicing drafting basic skirt pattern (straight skirt) using body measurements"
Jss 2,Calvary Term,7,Home Economics,"Adapting Basic Patterns to Different Styles",11-12,"Learning how to modify basic bodice and skirt blocks to create different fashion styles and designs"
Jss 2,Calvary Term,8,Home Economics,"Sketching Fashion Styles",11-12,"Practicing sketching different clothing styles based on fashion trends and personal preferences"
Jss 2,Calvary Term,9,Home Economics,"Pattern Layout and Cutting",11-12,"Understanding how to lay out pattern pieces on fabric efficiently and cutting fabric accurately"
Jss 2,Calvary Term,10,Home Economics,"Fashion Design Applications",11-12,"Integrating pattern drafting skills with creative fashion design to produce original clothing designs"
Jss 2,Summer Term,1,Home Economics,"Food Purchasing and Wise Buying",11-12,"Understanding food purchasing principles and wise buying practices to get quality food at reasonable prices"
Jss 2,Summer Term,2,Home Economics,"Factors to Consider When Buying Food",11-12,"Learning to consider quality, price, nutritional value, packaging, expiry dates when purchasing food items"
Jss 2,Summer Term,3,Home Economics,"Risk Factors in Food Purchasing",11-12,"Identifying risks when buying food: expired products, contamination, poor storage, and how to reduce these risks"
Jss 2,Summer Term,4,Home Economics,"Perishable and Non-Perishable Foods",11-12,"Differentiating between perishable foods (fruits, vegetables, meat) and non-perishable foods (rice, beans, canned goods)"
Jss 2,Summer Term,5,Home Economics,"Food Processing Methods",11-12,"Understanding food processing techniques: milling, fermentation, smoking, roasting, and their effects on food"
Jss 2,Summer Term,6,Home Economics,"Food Preservation: Reasons and Methods",11-12,"Learning why food preservation is important and methods like freezing, sun-drying, salting, smoking, canning"
Jss 2,Summer Term,7,Home Economics,"Preservation of Perishable Foods",11-12,"Practicing preservation methods for fruits, vegetables, fish, and meat to extend shelf life and prevent spoilage"
Jss 2,Summer Term,8,Home Economics,"Food Storage Techniques",11-12,"Understanding proper storage methods for different food types: refrigeration, dry storage, cool storage"
Jss 2,Summer Term,9,Home Economics,"Food Safety and Labeling",11-12,"Learning how to keep food safe through proper handling, hygiene, labeling containers, and checking expiry dates"
Jss 2,Summer Term,10,Home Economics,"Practical Food Preservation Project",11-12,"Applying learned skills to preserve food items: making dried fruits, salted fish, or fermented foods as projects"
