class,term,week,subject,topic,agegroup,context
Jss 3,Noel Term,1,Physical And Health Education,"Physical Fitness: Benefits and Factors",12-13,"Understanding benefits of physical fitness (health, strength, endurance) and factors influencing it (exercise, nutrition, rest)"
Jss 3,Noel Term,2,Physical And Health Education,"Body Conditioning Programmes",12-13,"Learning structured exercises and training programs to improve physical fitness and overall body conditioning"
Jss 3,Noel Term,3,Physical And Health Education,"Pre-Colonial Traditional Dances",12-13,"Exploring Nigerian folk dances: Atilogwu (Igbo), Bata (Yoruba), Sharo (Fulani), Langa (Hausa); costumes and steps"
Jss 3,Noel Term,4,Physical And Health Education,"Social and Modern Dances",12-13,"Learning foreign and modern dances: reggae, disco, highlife, rumba, classical; differentiating dance styles"
Jss 3,Noel Term,5,Physical And Health Education,"Computer Games and Recreation",12-13,"Understanding computer games (tennis, cricket, soccer), their values, and using computers for recreational gaming"
Jss 3,Noel Term,6,Physical And Health Education,"Track and Field: Pole Vault",12-13,"Learning pole vault skills: grip, run-up, pole carrying, take-off, hang, swing up, bar clearance, landing"
Jss 3,Noel Term,7,Physical And Health Education,"Track and Field: Javelin",12-13,"Practicing basic javelin skills: grip, carriage, run-up, release, follow-through, recovery; drawing javelin sectors"
Jss 3,Noel Term,8,Physical And Health Education,"Ball Games: Hockey Skills and Techniques",12-13,"Learning hockey basic skills: hit, stop, drive, dribble, pass, flick, push, bully/centre pass"
Jss 3,Noel Term,9,Physical And Health Education,"Hockey: Rules, Officials and Safety",12-13,"Understanding hockey rules, safety regulations, officials and their duties; drawing and labeling hockey pitch"
Jss 3,Noel Term,10,Physical And Health Education,"Group/Combined Events: Pentathlon",12-13,"Understanding pentathlon events, competition duration, scoring, facilities, equipment, and safety rules"
Jss 3,Calvary Term,1,Physical And Health Education,"Group/Combined Events: Decathlon",12-13,"Learning decathlon events, differences from pentathlon, competition format, scoring system, and safety measures"
Jss 3,Calvary Term,2,Physical And Health Education,"Nigerian Sports Heroes and Their Contributions",12-13,"Studying pre-colonial and post-colonial sports heroes like Jerry Enyeazu, Falilat Ogunkoya, Mary Onyali"
Jss 3,Calvary Term,3,Physical And Health Education,"Career Guidance in Physical Education",12-13,"Exploring career opportunities in physical education: teaching, coaching, sports management, sports medicine"
Jss 3,Calvary Term,4,Physical And Health Education,"Contact Games: Taekwondo",12-13,"Learning taekwondo basic techniques, importance, safety rules, regulations, and officiating in martial arts"
Jss 3,Calvary Term,5,Physical And Health Education,"Contact Games: Boxing",12-13,"Understanding boxing basic techniques, safety rules, regulations, officials and their duties in boxing matches"
Jss 3,Calvary Term,6,Physical And Health Education,"Non-Contact Games: Swimming Strokes",12-13,"Learning basic swimming styles: crawl, breaststroke, backstroke, butterfly; swimming equipment and competitions"
Jss 3,Calvary Term,7,Physical And Health Education,"Non-Contact Games: Gymnastics",12-13,"Practicing floor activities, stunts and tumbling: forward roll, headstand, crab walk, cartwheel, frog jump"
Jss 3,Calvary Term,8,Physical And Health Education,"Classification and Values of Floor Activities",12-13,"Understanding gymnastics classifications, values of floor activities, officials and safety rules in non-contact games"
Jss 3,Calvary Term,9,Physical And Health Education,"Family Life: Types and Duties",12-13,"Understanding types of families (nuclear, extended), duties of family members, and family relationships"
Jss 3,Calvary Term,10,Physical And Health Education,"Puberty and Teenage Pregnancy",12-13,"Learning about puberty in boys and girls, consequences of teenage pregnancy, assertiveness and communication skills"
Jss 3,Summer Term,1,Physical And Health Education,"Sports and Health Promotion Agencies",12-13,"Understanding roles of NAPHER.SD, Nigeria Institute of Sports, sports associations, Ministry of Health, NAFDAC, WHO"
Jss 3,Summer Term,2,Physical And Health Education,"Aging, Death and Life Enhancement",12-13,"Understanding aging process, death, life-enhancing measures (exercise, nutrition, rest), supporting dying and grieving persons"
Jss 3,Summer Term,3,Physical And Health Education,"Drug Use, Misuse and Abuse",12-13,"Differentiating between drug use, misuse, and abuse; understanding categories: prescription, non-prescription, gateway drugs"
Jss 3,Summer Term,4,Physical And Health Education,"Health Consequences and Prevention of Drug Abuse",12-13,"Learning health consequences of drug abuse and ways to prevent drug misuse and abuse among young people"
Jss 3,Summer Term,5,Physical And Health Education,"Communicable Diseases: Nature and Transmission",12-13,"Understanding nature of communicable diseases (measles, mumps, malaria, pneumonia), modes of transmission, causative agents"
Jss 3,Summer Term,6,Physical And Health Education,"Prevention of Communicable Diseases",12-13,"Learning preventive measures for communicable diseases: sanitation, immunization, education, hygiene practices"
Jss 3,Summer Term,7,Physical And Health Education,"Non-Communicable Diseases",12-13,"Understanding nature of non-communicable diseases (sickle cell, obesity, kwashiorkor), prevention and management"
Jss 3,Summer Term,8,Physical And Health Education,"Disease Vectors and Control Measures",12-13,"Identifying disease vectors (mosquitoes, houseflies), drawing life cycles, understanding control: drainage, insecticides, oil spraying"
Jss 3,Summer Term,9,Physical And Health Education,"STIs, HIV/AIDS: Transmission and Prevention",12-13,"Understanding sexually transmitted infections, HIV/AIDS, causes, modes of transmission, consequences, and prevention methods"
Jss 3,Summer Term,10,Physical And Health Education,"Disease Prevention and Family Health",12-13,"Integrating disease prevention strategies: sanitation, education, immunization, choice of life partner for family health"
