class,term,week,subject,topic,agegroup,context
Jss 1,Noel Term,1,English Language,"Reading for Maximum Retention and Recall",10-11,"Learning intensive reading strategies using the SQ3R method (Survey, Question, Read, Recite, Review) to preview passages, read carefully, recall salient points, and review for maximum understanding and retention of information on topics like diet, nutrition, and water safety"
Jss 1,Noel Term,2,English Language,"Reading for Main and Supporting Ideas",10-11,"Learning to identify the main idea (most important point) and supporting ideas (details that explain or prove the main idea) in passages, understanding how supporting ideas develop and strengthen the main point in paragraphs"
Jss 1,Noel Term,3,English Language,"Reading to Answer Specific Questions",10-11,"Developing comprehension skills by learning to answer different levels of questions: knowledge level (who, what, where, when), translation level (explain, describe), interpretation level (why, how), and projection level (predict, conclude, give opinion)"
Jss 1,Noel Term,4,English Language,"Reading to Understand Author's Mood",10-11,"Learning to identify the author's mood or attitude (anger, happiness, doubt, disappointment, suspicion, excitement) through careful reading of words and expressions, detecting hidden meanings, and understanding the author's presentation style (objective, biased, verbose, terse)"
Jss 1,Noel Term,5,English Language,"Reading to Interpret Diagrams, Maps and Sketches",10-11,"Developing skills to read and accurately interpret visual information like diagrams, maps, and sketches that accompany written text, understanding how spatial descriptions complement written material and making connections between text and visuals"
Jss 1,Noel Term,6,English Language,"Reading to Follow Directions",10-11,"Learning to follow written instructions and directions by identifying key directional words (left, right, east, west, northwards, southwards, upwards, towards), reading maps, and following step-by-step instructions accurately"
Jss 1,Noel Term,7,English Language,"Writing to Highlight Main and Supporting Ideas",10-11,"Learning to organize writing by identifying and jotting down main and supporting ideas from topics, arranging ideas in logical sequence (beginning, middle, end), and writing appropriate introductions and conclusions for essays and passages"
Jss 1,Noel Term,8,English Language,"Composition Writing - Narrative and Descriptive",10-11,"Understanding narrative writing (telling a story with characters, plot, setting) and descriptive writing (using sensory details to describe people, places, things), learning to write compositions with clear structure including introduction, body, and conclusion"
Jss 1,Noel Term,9,English Language,"Letter Writing - Formal and Informal Letters",10-11,"Learning the difference between formal letters (two addresses, formal salutation, specific format for official purposes) and informal letters (one address, casual tone for friends and family), understanding appropriate formats and when to use each type"
Jss 1,Noel Term,10,English Language,"Speeches - Production of Vowel and Consonant Sounds",10-11,"Learning to listen to and produce clear vowel sounds (a, e, i, o, u) and consonant sounds (t, g, k, l, p, s, etc.) correctly in words, sentences, and passages on topics like family, school, health, and safety"
Jss 1,Calvary Term,1,English Language,"Long and Short Vowel Sounds",10-11,"Distinguishing between and correctly pronouncing long vowels (as in sleep, port, leave) and short vowels (as in slip, pot, live), practicing minimal pairs to hear and produce the differences in context"
Jss 1,Calvary Term,2,English Language,"Consonant Sounds in Context",10-11,"Learning to identify and correctly produce consonant sounds in words and sentences, practicing pronunciation of sounds like /b/ vs /p/ (back/pack), /g/ vs /t/ (goat/toad), /r/ vs /l/ (road/load), /th/ vs /d/ (then/den)"
Jss 1,Calvary Term,3,English Language,"Consonant Clusters and Diphthongs",10-11,"Learning to pronounce consonant clusters (two or more consonants together like in desks, plants, school, string, splash) and diphthongs (two vowel sounds in one syllable like /ei/ in gate, /ou/ in go, /oi/ in oil)"
Jss 1,Calvary Term,4,English Language,"Word Boundaries, Compound Words and Phrases",10-11,"Understanding linking sounds at word boundaries (matter of, go away), recognizing compound words (blackboard, ice-cream, swimming pool), and learning common phrases (a company of friends, a basket of fruits, a team of players)"
Jss 1,Calvary Term,5,English Language,"Questions and Question Tags",10-11,"Learning to form and respond to question tags correctly (Teachers are punctual, aren't they? Yes, they are), understanding how question tags seek agreement or confirmation, and using appropriate intonation patterns"
Jss 1,Calvary Term,6,English Language,"Listening Comprehension - Main Ideas",10-11,"Developing listening skills to identify main ideas from speeches, stories, and passages on topics like family, school, health, safety, and social issues, learning to extract key information from what is heard"
Jss 1,Calvary Term,7,English Language,"Parts of Speech - Nouns, Verbs, Adjectives",10-11,"Understanding nouns (naming words for people, places, things), verbs (action or state words), and adjectives (describing words), learning to identify their features and functions in sentences, and making correct sentences using them"
