class,term,week,subject,topic,agegroup,context
Jss 2,Noel Term,1,Christian Religious Studies,"The Annunciation of Jesus' Birth",11-12,"Understanding prophecies from Isaiah and the angel's announcement to Mary about Jesus' birth (Luke 1:26-35)"
Jss 2,Noel Term,2,Christian Religious Studies,"The Birth of Jesus Christ",11-12,"Narrating the nativity story in Bethlehem; Mary and Joseph's journey and Jesus being born in a manger"
Jss 2,Noel Term,3,Christian Religious Studies,"The Visit of the Wise Men",11-12,"Studying the magi's visit to baby Jesus and the significance of their gifts: gold, frankincense, and myrrh"
Jss 2,Noel Term,4,Christian Religious Studies,"The Visit of the Shepherds",11-12,"Understanding the angel's announcement to shepherds and their visit to worship the newborn Jesus"
Jss 2,Noel Term,5,Christian Religious Studies,"The Value of Virginity",11-12,"Learning about Mary's virgin birth and the importance of sexual purity before marriage; consequences of premarital sex"
Jss 2,Noel Term,6,Christian Religious Studies,"Jesus and His Family",11-12,"Identifying Jesus' siblings, Joseph's profession as a carpenter, and Jesus' obedience to His earthly parents"
Jss 2,Noel Term,7,Christian Religious Studies,"Jesus' Understanding of True Family",11-12,"Understanding Jesus' teaching that those who do God's will are His true family (Matthew 12:46-50)"
Jss 2,Noel Term,8,Christian Religious Studies,"John the Baptist: Forerunner of Jesus",11-12,"Learning about John's ministry, his preaching of repentance, and preparation for Jesus' coming (Mark 1:1-8)"
Jss 2,Noel Term,9,Christian Religious Studies,"The Baptism of Jesus",11-12,"Understanding Jesus' baptism by John, the Holy Spirit descending like a dove, and God's voice from heaven"
Jss 2,Noel Term,10,Christian Religious Studies,"The Temptation of Jesus",11-12,"Studying the three temptations by Satan in the wilderness and how Jesus overcame them using Scripture"
Jss 2,Calvary Term,1,Christian Religious Studies,"Significance of Jesus' Baptism and Temptation",11-12,"Understanding why Jesus was baptized and tempted; relating these events to Christian commitment and overcoming sin"
Jss 2,Calvary Term,2,Christian Religious Studies,"Temptations in Nigeria Today",11-12,"Identifying modern temptations like corruption, examination malpractice, cultism; learning ways to overcome them"
Jss 2,Calvary Term,3,Christian Religious Studies,"The Call of the First Four Disciples",11-12,"Narrating how Jesus called Peter, Andrew, James, and John from their fishing boats to become fishers of men"
Jss 2,Calvary Term,4,Christian Religious Studies,"The Call of the Twelve Apostles",11-12,"Learning the names of all twelve disciples and understanding their selection and commissioning by Jesus"
Jss 2,Calvary Term,5,Christian Religious Studies,"The Demands of Discipleship",11-12,"Understanding the cost of following Jesus: forsaking all, taking up the cross, and putting God first (Luke 14:25-34)"
Jss 2,Calvary Term,6,Christian Religious Studies,"The Beatitudes",11-12,"Studying and memorizing the nine beatitudes from the Sermon on the Mount (Matthew 5:1-12)"
Jss 2,Calvary Term,7,Christian Religious Studies,"Christians as Salt and Light",11-12,"Understanding Jesus' teaching that Christians should be moral preservatives and illuminate the world by good works"
Jss 2,Calvary Term,8,Christian Religious Studies,"Jesus' Teaching on Forgiveness and Revenge",11-12,"Learning Jesus' commands to forgive enemies, turn the other cheek, and love those who persecute us"
Jss 2,Calvary Term,9,Christian Religious Studies,"Jesus' Teaching on Prayer, Fasting, and Money",11-12,"Understanding proper attitudes toward prayer, fasting, material wealth, and avoiding anxiety about provisions"
Jss 2,Calvary Term,10,Christian Religious Studies,"The Parables of Jesus: Meaning and Purpose",11-12,"Understanding what parables are, why Jesus used them to teach spiritual truths through earthly stories"
Jss 2,Summer Term,1,Christian Religious Studies,"Parable of the Sower",11-12,"Learning about different types of soil representing human hearts and their response to God's word (Matthew 13:1-23)"
Jss 2,Summer Term,2,Christian Religious Studies,"Parable of the Wheat and Tares",11-12,"Understanding the coexistence of good and evil until judgment day; God's patience with sinners (Matthew 13:24-43)"
Jss 2,Summer Term,3,Christian Religious Studies,"Parables About God's Love for Sinners",11-12,"Studying the Lost Sheep, Lost Coin, and Prodigal Son parables showing God's joy when sinners repent"
Jss 2,Summer Term,4,Christian Religious Studies,"The Triumphant Entry into Jerusalem",11-12,"Narrating Jesus' entry on a donkey, crowds waving palm branches and shouting 'Hosanna' (Matthew 21:1-11)"
Jss 2,Summer Term,5,Christian Religious Studies,"The Last Supper",11-12,"Understanding the institution of Holy Communion, Jesus washing disciples' feet, and predicting His betrayal"
Jss 2,Summer Term,6,Christian Religious Studies,"The Betrayal, Arrest, and Peter's Denial",11-12,"Learning about Judas' betrayal with a kiss, Jesus' arrest, and Peter denying Jesus three times"
Jss 2,Summer Term,7,Christian Religious Studies,"The Trial of Jesus",11-12,"Understanding Jesus' trials before Jewish and Roman authorities; false accusations and condemnation to death"
Jss 2,Summer Term,8,Christian Religious Studies,"The Crucifixion and Death of Jesus",11-12,"Studying Jesus' suffering on the cross, the seven last words, and miraculous events at His death"
Jss 2,Summer Term,9,Christian Religious Studies,"The Burial of Jesus",11-12,"Learning about Joseph of Arimathea requesting Jesus' body and burial in a new tomb with a sealed stone"
Jss 2,Summer Term,10,Christian Religious Studies,"The Resurrection and Appearances of Jesus",11-12,"Understanding the empty tomb, Mary Magdalene's encounter, and Jesus' post-resurrection appearances to disciples"
