class,term,week,subject,topic,agegroup,context
Jss 2,Noel Term,1,Business Studies,"The Reception Office and Receptionist",11-12,"Understanding the reception office, role of receptionist, their qualities, duties, and importance in an organization"
Jss 2,Noel Term,2,Business Studies,"Receiving and Treating Visitors",11-12,"Learning proper procedures for welcoming visitors, appropriate office dress code, and telephone etiquette"
Jss 2,Noel Term,3,Business Studies,"Documents Handled by Receptionist",11-12,"Identifying and designing visitor's book, telephone pad, and request forms used in reception office"
Jss 2,Noel Term,4,Business Studies,"Office Correspondence and Mail Handling",11-12,"Understanding correspondence records (inward/outward books), ways mail enters organization, and mail handling procedures"
Jss 2,Noel Term,5,Business Studies,"Office Documents: Sales Documents",11-12,"Learning about office documents, their types, preparation and uses of sales documents like invoices and receipts"
Jss 2,Noel Term,6,Business Studies,"Office Documents: Purchase Documents",11-12,"Understanding purchase documents like purchase orders, delivery notes, and their preparation and uses"
Jss 2,Noel Term,7,Business Studies,"Trade: Meaning, Importance and Forms",11-12,"Exploring trade as commercial activity, its importance, and forms including home trade and foreign trade"
Jss 2,Noel Term,8,Business Studies,"Aids to Trade",11-12,"Understanding services that facilitate trade: banking, insurance, advertising, communication, transport, warehousing"
Jss 2,Noel Term,9,Business Studies,"Role of Customs and Excise in Foreign Trade",11-12,"Learning about customs and excise duties, border control, import/export regulations in international trade"
Jss 2,Noel Term,10,Business Studies,"Market: Meaning, Features and Types",11-12,"Understanding market concept, its features, and types including capital market, money market, and commodity market"
Jss 2,Calvary Term,1,Business Studies,"Institutions and Instruments in Markets",11-12,"Identifying institutions like stock exchange, and instruments traded in capital, money, and commodity markets"
Jss 2,Calvary Term,2,Business Studies,"Careers in the Capital Market",11-12,"Exploring career opportunities available in capital markets including stockbrokers, investment analysts, and traders"
Jss 2,Calvary Term,3,Business Studies,"Buying and Selling: Cash and Credit",11-12,"Understanding buying and selling transactions by cash and credit; calculating turnover, markup, and net profit"
Jss 2,Calvary Term,4,Business Studies,"Distribution and Channels of Distribution",11-12,"Learning about distribution process and channels: producer/manufacturer, wholesaler, retailer, and consumer"
Jss 2,Calvary Term,5,Business Studies,"Functions of Distribution Channels",11-12,"Understanding specific roles and functions of each agent in the distribution chain from producer to consumer"
Jss 2,Calvary Term,6,Business Studies,"Chemical Vendors and Safe Handling",11-12,"Identifying licensed chemical vendors, safe handling and distribution of chemicals, and effects of wrong handling"
Jss 2,Calvary Term,7,Business Studies,"Commercial Banks and Banking Services",11-12,"Defining commercial banks, understanding banking services like savings, loans, transfers, and ethical issues in banking"
Jss 2,Calvary Term,8,Business Studies,"Insurance: Services and Types",11-12,"Understanding insurance services and types of policies: vehicle, fire, burglary, marine, life, pension, and health"
Jss 2,Calvary Term,9,Business Studies,"Benefits of Insurance",11-12,"Learning about advantages of insurance coverage, risk management, and financial security for individuals and businesses"
Jss 2,Calvary Term,10,Business Studies,"Personal Qualities of an Entrepreneur",11-12,"Identifying characteristics needed for entrepreneurship: creativity, risk-taking, determination, innovation, leadership"
Jss 2,Summer Term,1,Business Studies,"Business Opportunities: Local, National, International",11-12,"Understanding and identifying business opportunities available at local, national, and international levels"
Jss 2,Summer Term,2,Business Studies,"Consumer Rights",11-12,"Learning about the eight universal consumer rights, origin of consumerism, and protection of consumer interests"
Jss 2,Summer Term,3,Business Studies,"Consumer Responsibilities",11-12,"Understanding duties and responsibilities of consumers in the marketplace including informed purchasing decisions"
Jss 2,Summer Term,4,Business Studies,"Shopping Tips: Needs vs Wants",11-12,"Differentiating between needs and wants, making wise purchasing decisions, and avoiding impulse buying"
Jss 2,Summer Term,5,Business Studies,"Impulse Buying and After-Sales Services",11-12,"Understanding effects of impulse buying and importance of after-sales services like warranty and installation"
Jss 2,Summer Term,6,Business Studies,"Transparency, Accountability and Probity (TAP)",11-12,"Understanding TAP in business ethics, need for ethical practices, due process, and challenges of lack of TAP"
Jss 2,Summer Term,7,Business Studies,"Ledger and Ledger Entries",11-12,"Learning about ledgers, items on ledger (date, particulars, folio, amount), recording cash receipts and payments"
Jss 2,Summer Term,8,Business Studies,"Discounts and Contra Entries in Ledger",11-12,"Understanding how to record discount received, discount allowed, and making contra entries in ledger books"
Jss 2,Summer Term,9,Business Studies,"Petty Cash Book and Imprest System",11-12,"Learning about petty cash book, its columns, recording small expenses, and understanding imprest system operation"
Jss 2,Summer Term,10,Business Studies,"Cash Book: Types and Preparation",11-12,"Understanding cash book, types (single column, two column), recording cash and bank transactions, preparing cash book"
