class,term,week,subject,topic,agegroup,context,generated
Year 3,Noel Term,2,Creative Writing,"Completing stories: The sand castle as a play",7-8,"",false
Year 3,Noel Term,3,Creative Writing,"Shape poem",7-8,"",false
Year 3,Noel Term,4,Creative Writing,"Picture description and labelling",7-8,"",false
Year 3,Noel Term,5,Creative Writing,"Writing reports",7-8,"",false
Year 3,Noel Term,6,Creative Writing,"My favorite superhero",7-8,"",false
Year 3,Noel Term,7,Creative Writing,"A day in the desert",7-8,"",false
Year 3,Noel Term,8,Creative Writing,"Loosing my teeth",7-8,"",false
Year 3,Noel Term,9,Creative Writing,"What I know about dinosaurs",7-8,"",false
Year 3,Noel Term,1,Cultural and Creative Arts,"Arts: definition and uses",7-8,"",false
Year 3,Noel Term,2,Cultural and Creative Arts,"Branches of arts: music, drama, and dance; meaning of music, drama and art",7-8,"",false
Year 3,Noel Term,3,Cultural and Creative Arts,"Introduction to Nigeria artworks: theatre, sources of musical sounds, difference between music and noise",7-8,"",false
Year 3,Noel Term,4,Cultural and Creative Arts,"Musical instruments: meaning, classes and examples",7-8,"",false
Year 3,Noel Term,5,Cultural and Creative Arts,"Greeting practices, time and greeting and occasions in Nigeria",7-8,"",false
Year 3,Noel Term,6,Cultural and Creative Arts,"Different ceremonies and dances for tribes in Nigeria",7-8,"",false
Year 3,Noel Term,7,Cultural and Creative Arts,"Elements of design: shapes, lines and colors ( meaning, types and uses)",7-8,"",false
Year 3,Noel Term,8,Cultural and Creative Arts,"Pattern: designing pattern from simple basic shapes, making simple repeated patterns, using patterns to make Christmas cards, exhibitions",7-8,"",false
Year 3,Noel Term,9,Cultural and Creative Arts,"Principles of design; meaning, types and uses",7-8,"",false
Year 3,Noel Term,1,Geography,"Weather and climate: meaning, elements, seasons and their classification",7-8,"",false
Year 3,Noel Term,2,Geography,"The earth: meaning and components",7-8,"",false
Year 3,Noel Term,3,Geography,"Vegetation zones in Nigeria: meaning, types, characteristics and locations",7-8,"",false
Year 3,Noel Term,4,Geography,"Afforestation and Deforestation: meaning causes, advantages and disadvantages",7-8,"",false
Year 3,Noel Term,5,Geography,"Flooding: meaning, causes and effects",7-8,"",false
Year 3,Noel Term,6,Geography,"Plains and plateaus: meaning, formation, types and characteristics",7-8,"",false
Year 3,Noel Term,7,Geography,"Hills and valleys: meaning, formation, types and characteristics",7-8,"",false
Year 3,Noel Term,8,Geography,"Rainfall: meaning, formation, types and importance",7-8,"",false
Year 3,Noel Term,9,Geography,"Map of Nigeria",7-8,"",false
Year 3,Noel Term,1,History,"The history of man",7-8,"",false
Year 3,Noel Term,2,History,"Early history of west African states",7-8,"",false
Year 3,Noel Term,3,History,"Colonial era in Nigeria",7-8,"",false
Year 3,Noel Term,4,History,"Monarchy ( monarch's around the world)",7-8,"",false
Year 3,Noel Term,5,History,"Queen Elizabeth ii ( the longest reigning monarch in the world)",7-8,"",false
Year 3,Noel Term,6,History,"Alexander the great",7-8,"",false
Year 3,Noel Term,7,History,"Queen Amina of Zaria",7-8,"",false
Year 3,Noel Term,8,History,"Ben Carson",7-8,"",false
Year 3,Noel Term,9,History,"Abraham Lincoln",7-8,"",false
Year 3,Noel Term,1,Home Economics,"Home Economics: meaning, scopes, importance",7-8,"",false
Year 3,Noel Term,2,Home Economics,"Appearance management: meaning, identification and functions of the body",7-8,"",false
Year 3,Noel Term,3,Home Economics,"Care of body parts: skin, hair and nose",7-8,"",false
Year 3,Noel Term,4,Home Economics,"Cosmetics: meaning, examples, uses and precautions on the use of cosmetics",7-8,"",false
Year 3,Noel Term,5,Home Economics,"Deodorants and anti perspirants : meaning, examples and importance",7-8,"",false
Year 3,Noel Term,6,Home Economics,"Kitchen: meaning, types, rules and importance",7-8,"",false
Year 3,Noel Term,7,Home Economics,"Rest and Sleep: Health benefits of rest and sleep",7-8,"",false
Year 3,Noel Term,8,Home Economics,"House care: needs for daily cleaning and steps in house caring",7-8,"",false
Year 3,Noel Term,9,Home Economics,"Practical (bead craft)",7-8,"",false
Year 3,Noel Term,1,Literacy,"Speech marks: ( Quotation marks)",7-8,"",false
Year 3,Noel Term,2,Literacy,"Preposition",7-8,"",false
Year 3,Noel Term,3,Literacy,"Conjunction and interjection",7-8,"",false
Year 3,Noel Term,4,Literacy,"Question tags: meaning, formation of question tags and examples",7-8,"",false
Year 3,Noel Term,5,Literacy,"Phrase: meaning and examples",7-8,"",false
Year 3,Noel Term,6,Literacy,"Clause: meaning and examples",7-8,"",false
Year 3,Noel Term,7,Literacy,"Sentences: meaning, types and formation of sentences",7-8,"",false
Year 3,Noel Term,8,Literacy,"Idiomatic expressions",7-8,"",false
Year 3,Noel Term,9,Literacy,"Future action: using 'shall' and 'will'",7-8,"",false
Year 3,Noel Term,1,Moral Instructions,"Forgiveness: meaning and benefit of forgiveness",7-8,"",false
Year 3,Noel Term,2,Moral Instructions,"Forbearance",7-8,"",false
Year 3,Noel Term,3,Moral Instructions,"Loyalty",7-8,"",false
Year 3,Noel Term,4,Moral Instructions,"Punctuality: meaning, importance and effect of not been punctual",7-8,"",false
Year 3,Noel Term,5,Moral Instructions,"Diligence: attribute of a diligent person",7-8,"",false
Year 3,Noel Term,6,Moral Instructions,"Team work: meaning and benefit of team work",7-8,"",false
Year 3,Noel Term,7,Moral Instructions,"Savings",7-8,"",false
Year 3,Noel Term,8,Moral Instructions,"Contentment: meaning and benefit of contentment",7-8,"",false
Year 3,Noel Term,9,Moral Instructions,"Cleanliness",7-8,"",false
Year 3,Noel Term,1,Numeracy,"Whole numbers 1-100,000:( counting, ordering and writing in words)",7-8,"",false
Year 3,Noel Term,2,Numeracy,"Place value",7-8,"",false
Year 3,Noel Term,3,Numeracy,"Roman Numerals",7-8,"",false
Year 3,Noel Term,4,Numeracy,"Addition of 3-4 digit numbers (with and without remaining)",7-8,"",false
Year 3,Noel Term,5,Numeracy,"Subtraction of 3-4 digit numbers (with and without remaining)",7-8,"",false
Year 3,Noel Term,6,Numeracy,"Multiplication of 2 and 3 digit numbers by 1and 2 digit numbers",7-8,"",false
Year 3,Noel Term,7,Numeracy,"Factors and multiples (LCM, HCF)",7-8,"",false
Year 3,Noel Term,8,Numeracy,"Fraction",7-8,"",false
Year 3,Noel Term,9,Numeracy,"Decimal fraction (Decimals)",7-8,"",false
Year 3,Noel Term,1,Physical and Health Education,"P- Locomotor movements: meaning, types ( walking, running, skipping, crawling and galloping) H- care of the body",7-8,"",false
Year 3,Noel Term,2,Physical and Health Education,"P- Locomotor movements: skills involved in sliding, jumping and leaping, hopping H- care of the hair",7-8,"",false
Year 3,Noel Term,3,Physical and Health Education,"P- non Locomotor movements: meaning and types ( stretching, bending, twisting, swinging, pulling and pushing) H- Skin diseases",7-8,"",false
Year 3,Noel Term,4,Physical and Health Education,"P- non Locomotor movements: pulling and pushing H- Personal health",7-8,"",false
Year 3,Noel Term,5,Physical and Health Education,"P- sprints and types of sprint (100 metres, 200 metres, 400 metres) sprints and techniques (take off, running, arm action and finish) H- Exercise, rest and sleep: meaning and importance",7-8,"",false
Year 3,Noel Term,6,Physical and Health Education,"P- techniques in running -- acceleration , coast , the finish H- growth: meaning, foods that makes us grow properly",7-8,"",false
Year 3,Noel Term,7,Physical and Health Education,"P- field event: high jump: stages of high jump (run off, take off, clearing the cross bar, landing and recovery) H- Food and nutrition",7-8,"",false
Year 3,Noel Term,8,Physical and Health Education,"P- field event: long jump H- care of our food",7-8,"",false
Year 3,Noel Term,9,Physical and Health Education,"P- relay race H- care of our clothes",7-8,"",false
Year 3,Noel Term,1,Social Studies,"Physical environment: People live in desert, fertile places, lakes, rivers or ocean, mountain, low areas, climate varies",7-8,"",false
Year 3,Noel Term,2,Social Studies,"Customs and beliefs -- meaning , cultural practices, differences in customs and beliefs among cultures in Nigeria, beliefs and traditions; difference an similarities, values that can be promoted",7-8,"",false
Year 3,Noel Term,3,Social Studies,"Marriage: meaning, types and importance",7-8,"",false
Year 3,Noel Term,4,Social Studies,"Marriage practices in Nigeria: roles of culture in marriage practices, concepts of dowry, and reasons for differences in marriage practices",7-8,"",false
Year 3,Noel Term,5,Social Studies,"Culture: meaning, elements, ways of preserving culture and why different people have different customs (difference in history, geographical positions and external influences",7-8,"",false
Year 3,Noel Term,6,Social Studies,"Natural resources -- meaning, examples and resources development",7-8,"",false
Year 3,Noel Term,7,Social Studies,"Production -- meaning, types, factors and importance",7-8,"",false
Year 3,Noel Term,8,Social Studies,"Division of labour",7-8,"",false
Year 3,Noel Term,9,Social Studies,"Traditional festivals and ceremonies",7-8,"",false
Year 3,Noel Term,1,Vocational Studies,"Carpentry: meaning of carpentry, who is a carpenter, tools used in carpentry",7-8,"",false
Year 3,Noel Term,2,Vocational Studies,"Plumbing: meaning of plumbing, who is a plumber, tools used in plumbing",7-8,"",false
Year 3,Noel Term,3,Vocational Studies,"Brick laying (Masonry): meaning of bricklaying/masonry, who is a brick layer/mason, tools used in brick laying/masonry",7-8,"",false
Year 3,Noel Term,4,Vocational Studies,"Electrician: meaning and tools",7-8,"",false
Year 3,Noel Term,5,Vocational Studies,"Beauty therapy( hair care, makeup, skin care, nail care and other beauty service): meaning, who is a beautician, tools used by beautician",7-8,"",false
Year 3,Noel Term,6,Vocational Studies,"Painting: meaning, who is a painter, tools used in painting",7-8,"",false
Year 3,Noel Term,7,Vocational Studies,"Engineering: meaning, who is an engineer and types and tools",7-8,"",false
Year 3,Noel Term,8,Vocational Studies,"Fishing: meaning, who is a fisherman, fisher woman and fish monger and fishing tools",7-8,"",false
Year 3,Noel Term,9,Vocational Studies,"Practical (makeup)",7-8,"",false
Year 3,Noel Term,1,Yoruba Language,"Itan awon akoni Ile yoruba laye atijo ati ode oni - Oruka awon akoni agbegbe akokoo ni aye atijo ati ni ode oni - Akitiyan awon akoni to ati daruko",7-8,"",false
Year 3,Noel Term,2,Yoruba Language,"Onka Ookanlelogbon de ogoji (31-40 - Onka Yoruba Ookanlelogbon de ogoji - Aropo/ ayokuro awon onka kan lati fun wa ni onka miran - Titoka si awon oro to se pataki fun onka ( le ati din)",7-8,"",false
Year 3,Noel Term,3,Yoruba Language,"Ere: onitan keekeeke - Kika iwe ere- onise - Sise ere-onise - Ijiroro lori eko ti ari ko ati eda Inu itan - Iwe kika, alawiye iwe keta",7-8,"",false
Year 3,Noel Term,4,Yoruba Language,"Orin omode siwaju si - Awon Orin ati eko ti won nko was bi: 'kin n o fole se laye to mo wa', ' imototo lo le segun arun gbogbo ', 'we ki o mo, ge eekana re , jeun to dara --' Owe siwaju si - Owe ati pataki re - Titumo owe ati lilo lori bi ' agboju le Ogun fi ara re fosi ta', owo omode ko to pepe, ta gbalagba ko wo keregbe', 'agba kii wa Loja Kori omo tuntun wo'",7-8,"",false
Year 3,Noel Term,5,Yoruba Language,"Apeko awon oro ledee yoruba - Kiko Ori Yoruba keekeeke bi -- aga, tabili abbl - Iro ohun : d, r, m - Silebu yoruba",7-8,"",false
Year 3,Noel Term,6,Yoruba Language,"Aso wiwo - Kinni aso wiwo - Apeere awon aso ti okunrin ati apeere awon aso obinrin - Gbolohun keekeeke nipa aso wiwo bi, mode fila, mo wo sokoto abbl",7-8,"",false
Year 3,Noel Term,7,Yoruba Language,"Oro gbolohun - Oro oruko, apeere, itumo, ati idamo oro oruko - Oro aropo oruko - Oro ise, Oro apejuwe, oro atokun, oro asopo",7-8,"",false
Year 3,Noel Term,8,Yoruba Language,"Ounje Ile yoruba - Itesiwaju awon ire okó ati ounje ti anfi won se",7-8,"",false
Year 3,Noel Term,9,Yoruba Language,"Asa ibagbepo",7-8,"",false
Year 4,Noel Term,1,Agricultural Science,"Classification of crops -- cereals , legumes, beverages, tuber crops, fiber crops, ornamental, oil, root, vegetable",8-9,"",false
