class,term,week,subject,topic,agegroup,context,generated
Year 5,Noel Term,5,Computer Studies,"Internet: meaning, types, uses and internet browser",9-10,"",false
Year 5,Noel Term,6,Computer Studies,"Computer misuse/abuse",9-10,"",false
Year 5,Noel Term,7,Computer Studies,"Care of computer",9-10,"",false
Year 5,Noel Term,8,Computer Studies,"Storage devices",9-10,"",false
Year 5,Noel Term,9,Computer Studies,"Artificial intelligence",9-10,"",false
Year 5,Noel Term,1,Creative Writing,"My summer holiday",9-10,"",false
Year 5,Noel Term,2,Creative Writing,"Beginning, middle and end of a story -- The secondary school of my choice",9-10,"",false
Year 5,Noel Term,3,Creative Writing,"The owl and the pussy cat",9-10,"",false
Year 5,Noel Term,4,Creative Writing,"How to create an Email address",9-10,"",false
Year 5,Noel Term,5,Creative Writing,"Bell rings for end of lesson",9-10,"",false
Year 5,Noel Term,6,Creative Writing,"Hard work pays off",9-10,"",false
Year 5,Noel Term,7,Creative Writing,"How I can change the world",9-10,"",false
Year 5,Noel Term,8,Creative Writing,"What I want to be when I grow up ( child hood dreams and ambitions)",9-10,"",false
Year 5,Noel Term,9,Creative Writing,"A visit to the relative house",9-10,"",false
Year 5,Noel Term,1,Cultural and Creative Arts,"Light and shade: meaning, how light reflects on object to show light and shadow",9-10,"",false
Year 5,Noel Term,2,Cultural and Creative Arts,"Imaginative drawing: meaning, materials, draw from your memory, e.g festivals, village scenes",9-10,"",false
Year 5,Noel Term,3,Cultural and Creative Arts,"Imaginative composition: meaning, definition of choir, voice parts of choir",9-10,"",false
Year 5,Noel Term,4,Cultural and Creative Arts,"Drawing and painting: Benin bronze work",9-10,"",false
Year 5,Noel Term,5,Cultural and Creative Arts,"Pattern, design and motif: meaning, types (plain, twill and mat weaving) and uses",9-10,"",false
Year 5,Noel Term,6,Cultural and Creative Arts,"Weaving: meaning, types, materials and importance",9-10,"",false
Year 5,Noel Term,7,Cultural and Creative Arts,"Introduction values in cultural and creative arts",9-10,"",false
Year 5,Noel Term,8,Cultural and Creative Arts,"Perspectives: meaning, types and importance",9-10,"",false
Year 5,Noel Term,9,Cultural and Creative Arts,"Practical ( Christmas decorations)",9-10,"",false
Year 5,Noel Term,1,Geography,"Town and villages: meaning, features and amenities",9-10,"",false
Year 5,Noel Term,2,Geography,"The local government areas in Nigeria and their headquarters",9-10,"",false
Year 5,Noel Term,3,Geography,"Major land forms in Nigeria",9-10,"",false
Year 5,Noel Term,4,Geography,"Topography: meaning, forms, features, examples and importance",9-10,"",false
Year 5,Noel Term,5,Geography,"Rocks and rock formations: meaning and formation of different types of rock with examples",9-10,"",false
Year 5,Noel Term,6,Geography,"Weathering: meaning, agents, and process",9-10,"",false
Year 5,Noel Term,7,Geography,"Population: meaning, types and features",9-10,"",false
Year 5,Noel Term,8,Geography,"Nuclear and biological weapons: meaning and uses",9-10,"",false
Year 5,Noel Term,9,Geography,"Ecological ecosystem: meaning, types and importance",9-10,"",false
Year 5,Noel Term,1,History,"Myths: meaning, creation, myth of major tribes ( Hausa, Igbo, Yoruba)",9-10,"",false
Year 5,Noel Term,2,History,"Pre-colonial rule in Nigeria: meaning and periods",9-10,"",false
Year 5,Noel Term,3,History,"Colonial rule in Nigeria: meaning and periods",9-10,"",false
Year 5,Noel Term,4,History,"Civil rule in Nigeria: meaning and periods",9-10,"",false
Year 5,Noel Term,5,History,"Civilian leaders in Nigeria: (Dr Nnamdi Azikwe, Sir Tafawa Balewa, Alhaji Shehu Shagari, Chief Olusegun Obasanjo )",9-10,"",false
Year 5,Noel Term,6,History,"Civilian leaders in Nigeria (Mallam Umaru Musa, Yar'adua, Dr Good luck Ebele Jonathan, Muhammadu Buhari)",9-10,"",false
Year 5,Noel Term,7,History,"Military heads of states in Nigeria",9-10,"",false
Year 5,Noel Term,8,History,"Conduct of election in Nigeria",9-10,"",false
Year 5,Noel Term,9,History,"Nigeria civil war (1967-1970): Introduction to Nigeruan Civil war and reason for civil war",9-10,"",false
Year 5,Noel Term,1,Home Economics,"Home accidents: meaning, examples, causes and preventive measures",9-10,"",false
Year 5,Noel Term,2,Home Economics,"Personal and family resources: meaning, examples and uses",9-10,"",false
Year 5,Noel Term,3,Home Economics,"Homemade polish: meaning, ingredients, procedure, safety tips and benefits",9-10,"",false
Year 5,Noel Term,4,Home Economics,"Special dishes and drinks in our locality: meaning, examples and reasons for preparation",9-10,"",false
Year 5,Noel Term,5,Home Economics,"Careers in home economics",9-10,"",false
Year 5,Noel Term,6,Home Economics,"Consumer education: meaning, who is a consumer? Factors that influence the choice of consumer, importance of consumer education",9-10,"",false
Year 5,Noel Term,7,Home Economics,"Good eating habits: meaning, ways of practicing and importance",9-10,"",false
Year 5,Noel Term,8,Home Economics,"Homemade cleaning agents: meaning, types and uses",9-10,"",false
Year 5,Noel Term,9,Home Economics,"Practical ( liquid soap production)",9-10,"",false
Year 5,Noel Term,1,Literacy,"Dashes and bracket: meaning and uses",9-10,"",false
Year 5,Noel Term,2,Literacy,"Active and passive voice",9-10,"",false
Year 5,Noel Term,3,Literacy,"Direct and indirect speech",9-10,"",false
Year 5,Noel Term,4,Literacy,"Articles: uses of articles",9-10,"",false
Year 5,Noel Term,5,Literacy,"Colon's and semi colon",9-10,"",false
Year 5,Noel Term,6,Literacy,"Adverb: comparison",9-10,"",false
Year 5,Noel Term,7,Literacy,"Preposition",9-10,"",false
Year 5,Noel Term,8,Literacy,"Stress and intonation",9-10,"",false
Year 5,Noel Term,9,Literacy,"Dialogue",9-10,"",false
Year 5,Noel Term,1,Moral Instructions,"Sowing and reaping",9-10,"",false
Year 5,Noel Term,2,Moral Instructions,"Decision making",9-10,"",false
Year 5,Noel Term,3,Moral Instructions,"Good stewardship",9-10,"",false
Year 5,Noel Term,4,Moral Instructions,"Developing boldness",9-10,"",false
Year 5,Noel Term,5,Moral Instructions,"Reliability",9-10,"",false
Year 5,Noel Term,6,Moral Instructions,"Hospitality",9-10,"",false
Year 5,Noel Term,7,Moral Instructions,"Taking responsibility",9-10,"",false
Year 5,Noel Term,8,Moral Instructions,"Self discovery",9-10,"",false
