class,term,week,subject,topic,agegroup,context,generated
Year 2,Calvary Term,3,Cultural and Creative Arts,"Melodic pattern of music ( meaning of music, singing in a scale of natural keys)",6-7,"",true
Year 2,Calvary Term,4,Cultural and Creative Arts,"Valentine card/activities ( meaning of valentine)",6-7,"",true
Year 2,Calvary Term,5,Cultural and Creative Arts,"Making of mother's day cards",6-7,"",true
Year 2,Calvary Term,6,Cultural and Creative Arts,"Fabric design and decorations",6-7,"",true
Year 2,Calvary Term,7,Cultural and Creative Arts,"Drama( creating a drama from a storybook)",6-7,"",true
Year 2,Calvary Term,8,Cultural and Creative Arts,"Easter activities ( meaning of Easter and making of Easter card)",6-7,"",true
Year 2,Calvary Term,9,Cultural and Creative Arts,"Towns where art are being practiced",6-7,"",true
Year 2,Summer Term,1,Cultural and Creative Arts,"Story telling: creation of story, dramatic elements in story telling",6-7,"",true
Year 2,Summer Term,2,Cultural and Creative Arts,"Practical: formation of a story, playing a role, dramatize the character of the story",6-7,"",true
Year 2,Summer Term,3,Cultural and Creative Arts,"Pattern making: meaning, methods of making",6-7,"",true
Year 2,Summer Term,4,Cultural and Creative Arts,"Practical of making pattern with simple design",6-7,"",true
Year 2,Summer Term,5,Cultural and Creative Arts,"Drawing: meaning, types and materials",6-7,"",true
Year 2,Summer Term,6,Cultural and Creative Arts,"Painting: meaning, types and materials",6-7,"",true
Year 2,Summer Term,7,Cultural and Creative Arts,"Practical: drawing and painting of costumes used in carnival and festivals",6-7,"",true
Year 2,Summer Term,8,Cultural and Creative Arts,"Body beautification: meaning, ways and materials",6-7,"",true
Year 2,Summer Term,9,Cultural and Creative Arts,"Practical: founder's and decorations",6-7,"",true
Year 2,Calvary Term,1,Geography,"Major cities in Nigeria: examples and locations",6-7,"",true
Year 2,Calvary Term,2,Geography,"Deforestation: meaning, benefits and effects",6-7,"",true
Year 2,Calvary Term,3,Geography,"Afforestation: meaning and benefits",6-7,"",true
Year 2,Calvary Term,4,Geography,"Geographical term: list and explain terms in geography",6-7,"",true
Year 2,Calvary Term,5,Geography,"Rural settlement ( meaning and features)",6-7,"",true
Year 2,Calvary Term,6,Geography,"Urban settlement ( meaning, features and differences between rural and urban settlement)",6-7,"",true
Year 2,Calvary Term,7,Geography,"The atmosphere ( meaning and constituents)",6-7,"",true
Year 2,Calvary Term,8,Geography,"Plains ( meaning of plains and examples)",6-7,"",true
Year 2,Calvary Term,9,Geography,"Rainfall ( definition and process of rainfall)",6-7,"",true
Year 2,Summer Term,1,Geography,"Weather: meaning, types and seasons of the year",6-7,"",true
Year 2,Summer Term,2,Geography,"Climate change and its effects",6-7,"",true
Year 2,Summer Term,3,Geography,"Population: meaning and importance",6-7,"",true
Year 2,Summer Term,4,Geography,"Population census: meaning and types",6-7,"",true
Year 2,Summer Term,5,Geography,"Earth: the earth surface and the ozone layer",6-7,"",true
Year 2,Summer Term,6,Geography,"Famine: meaning and effects",6-7,"",true
Year 2,Summer Term,7,Geography,"Continents of the world",6-7,"",true
Year 2,Summer Term,8,Geography,"West Africa countries: names of countries and their capitals",6-7,"",true
Year 2,Summer Term,9,Geography,"Excursion",6-7,"",true
Year 2,Calvary Term,1,History,"Ethnic group in Nigeria: meaning and types",6-7,"",true
Year 2,Calvary Term,2,History,"History of the Yoruba's : their origin, story of oduduwa, afonja of Ilorin, Alafin of Oyo, Oni of Ife",6-7,"",true
Year 2,Calvary Term,3,History,"The history of the Hausa's: their origin and spread",6-7,"",true
Year 2,Calvary Term,4,History,"History of Igbo's: their origin and spread",6-7,"",true
Year 2,Calvary Term,5,History,"Comparison of the three major ethnic group",6-7,"",true
Year 2,Calvary Term,6,History,"Martin Luther king, Obafemi Awolowo",6-7,"",true
Year 2,Calvary Term,7,History,"Fela Anikulapo Ransomkuti, Nnamdi Azikwe",6-7,"",true
Year 2,Calvary Term,8,History,"Shaka Zulu, Alexander the great",6-7,"",true
Year 2,Calvary Term,9,History,"Chief Anthony Enahoro, Queen Elizabeth II",6-7,"",true
Year 2,Summer Term,1,History,"Definition of heroes and heroines: general role of hero and heroines",6-7,"",true
Year 2,Summer Term,2,History,"Heroes and heroines in the past: Samuel Ajayi Crowther, Queen Amina of Zaria e.t.c",6-7,"",true
Year 2,Summer Term,3,History,"Heroes and heroines in our time: professor Wole Soyinka, Ngozi Okonjo Iweala e.t.c",6-7,"",true
Year 2,Summer Term,4,History,"Achievements of heroes and heroines both past and present",6-7,"",true
Year 2,Summer Term,5,History,"Great patriots from across Africa: Nelson Mandela, Kwane Nknimah, Julius Nyerere, Robert Mugabc, Hellen-Johnson sir leaf",6-7,"",true
Year 2,Summer Term,6,History,"History of Oyo state -- year of creation, population, landmass, geo- political zone, major traditional rulers",6-7,"",true
Year 2,Summer Term,7,History,"History of government in Oyo state: local government, first governor to the current governor",6-7,"",true
Year 2,Summer Term,8,History,"Some ancient and modern towns in Nigeria",6-7,"",true
Year 2,Summer Term,9,History,"History of Johnethel school: year of creation, vision and mission statement, school organogram, geographical locations, name of the founder",6-7,"",true
Year 2,Calvary Term,1,Home Economics,"Fabrics: meaning, types and identification of fabrics",6-7,"",true
Year 2,Calvary Term,2,Home Economics,"Building positive image in relations to dressing: meaning of image, dressing as important element of positive image",6-7,"",true
Year 2,Calvary Term,3,Home Economics,"Posture: meaning, types, importance, classification of posture and effects",6-7,"",true
Year 2,Calvary Term,4,Home Economics,"Home accidents: meaning, types, how to avoid home accidents",6-7,"",true
Year 2,Calvary Term,5,Home Economics,"Fashion: meaning, importance and how to manage good fashion",6-7,"",true
Year 2,Calvary Term,6,Home Economics,"Nutrition: meaning and importance",6-7,"",true
Year 2,Calvary Term,7,Home Economics,"Clothing: clothes for different weather conditions",6-7,"",true
Year 2,Calvary Term,8,Home Economics,"Simple snacks ( puff-puff) : meaning, process of preparation",6-7,"",true
Year 2,Calvary Term,9,Home Economics,"Practical : snacks ( puff-puff)",6-7,"",true
Year 2,Summer Term,1,Home Economics,"Beautifying our surroundings: use of ornamental plant",6-7,"",true
Year 2,Summer Term,2,Home Economics,"Home furnishings practical: meaning and ways",6-7,"",true
Year 2,Summer Term,3,Home Economics,"Qualities of a clean environment",6-7,"",true
Year 2,Summer Term,4,Home Economics,"Food and fruits in the locality: meaning, examples and functions",6-7,"",true
Year 2,Summer Term,5,Home Economics,"Under and over feeding: meaning, causes and effects",6-7,"",true
Year 2,Summer Term,6,Home Economics,"Leftovers food: meaning and method of keeping leftovers food",6-7,"",true
Year 2,Summer Term,7,Home Economics,"Communicable and non Communicable diseases",6-7,"",true
Year 2,Summer Term,8,Home Economics,"Food and nutrition: practical",6-7,"",true
Year 2,Summer Term,9,Home Economics,"Home cleaning: practical",6-7,"",true
Year 2,Calvary Term,1,Literacy,"Regular past tense",6-7,"",true
Year 2,Calvary Term,2,Literacy,"Irregular past tense",6-7,"",true
Year 2,Calvary Term,3,Literacy,"Past continuous tense",6-7,"",true
Year 2,Calvary Term,4,Literacy,"Punctuation marks: question marks, exclamation mark",6-7,"",true
Year 2,Calvary Term,5,Literacy,"Punctuation marks: Apostrophe ( meaning, use)",6-7,"",true
Year 2,Calvary Term,6,Literacy,"Homophones -- meaning , use of homophones as guide to right pronunciation",6-7,"",true
Year 2,Calvary Term,7,Literacy,"Conjunction",6-7,"",true
Year 2,Calvary Term,8,Literacy,"Contractions and expansion of words ( formation and examples)",6-7,"",true
Year 2,Calvary Term,9,Literacy,"Using a dictionary",6-7,"",true
Year 2,Summer Term,1,Literacy,"Verb tenses: expressing future action using present continuous tense to replace shall it will",6-7,"",true
Year 2,Summer Term,2,Literacy,"Modal auxiliary: expressing obligation- ought to, have to, has to should, could, must, shall",6-7,"",true
Year 2,Summer Term,3,Literacy,"Asking for permission using CAN or MAY in asking for permission to show politeness",6-7,"",true
Year 2,Summer Term,4,Literacy,"Sentences",6-7,"",true
Year 2,Summer Term,5,Literacy,"Demonstrative: the use of this, these, that and those",6-7,"",true
Year 2,Summer Term,6,Literacy,"Synonyms",6-7,"",true
Year 2,Summer Term,7,Literacy,"Antonyms",6-7,"",true
Year 2,Summer Term,8,Literacy,"Articles : A, AN and THE",6-7,"",true
Year 2,Summer Term,9,Literacy,"Root words and compound words",6-7,"",true
Year 2,Calvary Term,1,Moral Instructions,"Patriotism",6-7,"",true
Year 2,Calvary Term,2,Moral Instructions,"Addiction",6-7,"",true
Year 2,Calvary Term,3,Moral Instructions,"Self reliance",6-7,"",true
Year 2,Calvary Term,4,Moral Instructions,"Self control",6-7,"",true
Year 2,Calvary Term,5,Moral Instructions,"Conflict management",6-7,"",true
Year 2,Calvary Term,6,Moral Instructions,"Decency in dressing",6-7,"",true
Year 2,Calvary Term,7,Moral Instructions,"Decency in speaking",6-7,"",true
Year 2,Calvary Term,8,Moral Instructions,"Problems solving skills",6-7,"",true
Year 2,Calvary Term,9,Moral Instructions,"Etiquette",6-7,"",true
Year 2,Summer Term,1,Moral Instructions,"Conscience",6-7,"",true
Year 2,Summer Term,2,Moral Instructions,"Understanding right and wrong",6-7,"",true
Year 2,Summer Term,3,Moral Instructions,"Making a total child - Physical development - Spiritual development - Academic development",6-7,"",true
Year 2,Summer Term,4,Moral Instructions,"Dangers of examination malpractices, lying and stealing",6-7,"",true
Year 2,Summer Term,5,Moral Instructions,"Justification by faith",6-7,"",true
Year 2,Summer Term,6,Moral Instructions,"Diligence",6-7,"",true
Year 2,Summer Term,7,Moral Instructions,"Raw materials: definition of raw materials, sources of raw materials",6-7,"",true
Year 2,Summer Term,8,Moral Instructions,"Things seen in offices, homes different materials and their uses",6-7,"",true
Year 2,Summer Term,9,Moral Instructions,"Obedience",6-7,"",true
Year 2,Calvary Term,1,Numeracy,"Writing in words up to 20,000",6-7,"",true
