class,term,week,subject,topic,agegroup,context,generated
Year 4,Summer Term,3,History,"The Asante kingdom",8-9,"",true
Year 4,Summer Term,4,History,"African union (AU) -- meaning, members state, aims and objectives",8-9,"",true
Year 4,Summer Term,5,History,"MDG -- meaning, aims and objectives",8-9,"",true
Year 4,Summer Term,6,History,"Nigeria civil war",8-9,"",true
Year 4,Summer Term,7,History,"Nigeria military regime",8-9,"",true
Year 4,Summer Term,8,History,"History of money in Nigeria",8-9,"",true
Year 4,Summer Term,9,History,"Former subject union: USSD",8-9,"",true
Year 4,Calvary Term,1,Home Economics,"Food guide pyramid: meaning and importance",8-9,"",true
Year 4,Calvary Term,2,Home Economics,"Food groups and sources: functions of food groups",8-9,"",true
Year 4,Calvary Term,3,Home Economics,"Snacks: meaning, examples, types and preparation",8-9,"",true
Year 4,Calvary Term,4,Home Economics,"Stitches: meaning, types and tools used in stitching",8-9,"",true
Year 4,Calvary Term,5,Home Economics,"Food service: meaning, food entertainment and food hygiene, types of food servicing, principles in food service",8-9,"",true
Year 4,Calvary Term,6,Home Economics,"Food labelling: meaning, importance and agencies that regulate food labelling",8-9,"",true
Year 4,Calvary Term,7,Home Economics,"Gender studies: meaning, understanding of gender differences in the society",8-9,"",true
Year 4,Calvary Term,8,Home Economics,"Home management",8-9,"",true
Year 4,Calvary Term,9,Home Economics,"Practical: snacks",8-9,"",true
Year 4,Summer Term,1,Home Economics,"Care and maintenance of clothing",8-9,"",true
Year 4,Summer Term,2,Home Economics,"Laundry: meaning, materials and tools",8-9,"",true
Year 4,Summer Term,3,Home Economics,"Various rooms in the home",8-9,"",true
Year 4,Summer Term,4,Home Economics,"Food processing: meaning, processing of selected food",8-9,"",true
Year 4,Summer Term,5,Home Economics,"Identification of clothing for different occasions",8-9,"",true
Year 4,Summer Term,6,Home Economics,"Household pest: meaning, examples and dangers",8-9,"",true
Year 4,Summer Term,7,Home Economics,"Personal grooming: meaning, identification and functions of each parts of the body",8-9,"",true
Year 4,Summer Term,8,Home Economics,"Personal hygiene: meaning, ways and importance",8-9,"",true
Year 4,Summer Term,9,Home Economics,"Practical",8-9,"",true
Year 4,Calvary Term,1,Literacy,"Present perfect tense -- use of have and has",8-9,"",true
Year 4,Calvary Term,2,Literacy,"Past perfect tense -- meaning , uses",8-9,"",true
Year 4,Calvary Term,3,Literacy,"Punctuation and capitalization -- correct usage of punctuation marks and capital letters",8-9,"",true
Year 4,Calvary Term,4,Literacy,"Apostrophe- meaning and uses",8-9,"",true
Year 4,Calvary Term,5,Literacy,"Prefixes and suffixes",8-9,"",true
Year 4,Calvary Term,6,Literacy,"Synonyms and antonyms",8-9,"",true
Year 4,Calvary Term,7,Literacy,"Introduction to stress and intonation",8-9,"",true
Year 4,Calvary Term,8,Literacy,"Preposition- preposition of time, use of 'for' and 'since'",8-9,"",true
Year 4,Calvary Term,9,Literacy,"Auxiliary verbs",8-9,"",true
Year 4,Summer Term,1,Literacy,"Structuring argument",8-9,"",true
Year 4,Summer Term,2,Literacy,"Sentences structures: simple, compound and complex",8-9,"",true
Year 4,Summer Term,3,Literacy,"Stress in English Language",8-9,"",true
Year 4,Summer Term,4,Literacy,"Positive and negative statement",8-9,"",true
Year 4,Summer Term,5,Literacy,"Conjunction",8-9,"",true
Year 4,Summer Term,6,Literacy,"Contractions",8-9,"",true
Year 4,Summer Term,7,Literacy,"Direct and indirect speech",8-9,"",true
Year 4,Summer Term,8,Literacy,"Tenses -- present continuous, past continuous, present perfect and past perfect",8-9,"",true
Year 4,Summer Term,9,Literacy,"Classes of word",8-9,"",true
Year 4,Calvary Term,1,Moral Instructions,"Tolerance",8-9,"",true
Year 4,Calvary Term,2,Moral Instructions,"Peer pressure",8-9,"",true
Year 4,Calvary Term,3,Moral Instructions,"Good communication",8-9,"",true
Year 4,Calvary Term,4,Moral Instructions,"Love",8-9,"",true
Year 4,Calvary Term,5,Moral Instructions,"Team -- work",8-9,"",true
Year 4,Calvary Term,6,Moral Instructions,"Discipline",8-9,"",true
Year 4,Calvary Term,7,Moral Instructions,"Respect",8-9,"",true
Year 4,Calvary Term,8,Moral Instructions,"Orderliness",8-9,"",true
Year 4,Calvary Term,9,Moral Instructions,"Cooperation",8-9,"",true
Year 4,Summer Term,1,Moral Instructions,"Love and honesty for people and country",8-9,"",true
Year 4,Summer Term,2,Moral Instructions,"Ability to build up confidence",8-9,"",true
Year 4,Summer Term,3,Moral Instructions,"Identification and acceptance of problem",8-9,"",true
Year 4,Summer Term,4,Moral Instructions,"Forgiveness",8-9,"",true
Year 4,Summer Term,5,Moral Instructions,"Passive and bad citizens",8-9,"",true
Year 4,Summer Term,6,Moral Instructions,"Active and good citizen",8-9,"",true
Year 4,Summer Term,7,Moral Instructions,"The spirit of give and take",8-9,"",true
Year 4,Summer Term,8,Moral Instructions,"Patience",8-9,"",true
Year 4,Summer Term,9,Moral Instructions,"Contentment",8-9,"",true
Year 4,Calvary Term,1,Numeracy,"Money: identifying various currencies used in Nigeria and other countries, conversion from one currencies to another, profit and loss simple interest, commission, discount and transaction in offices, banks and markets",8-9,"",true
Year 4,Calvary Term,2,Numeracy,"Perimeter: meaning of perimeter and identification of shapes around the classroom, finding perimeter of shapes using formulary measurements of objects around the class, finding the perimeter of irregular objects",8-9,"",true
