class,term,week,subject,topic,agegroup,context,generated
Jss 1,Summer Term,5,Physical and Health Education,"Food and Nutrition: Meaning and Types",10-11,"Understanding what food is; learning different types of food available locally and their nutritional importance",false
Jss 1,Summer Term,6,Physical and Health Education,"Classes of Food Nutrients",10-11,"Learning six classes: carbohydrates (energy), proteins (body building), fats/oils (energy), vitamins, minerals, water (all for health)",false
Jss 1,Summer Term,7,Physical and Health Education,"Importance of Food Nutrients",10-11,"Understanding specific importance of each nutrient class for growth, energy, disease prevention, and healthy living",false
Jss 1,Summer Term,8,Physical and Health Education,"Diseases Caused by Pathogens",10-11,"Understanding pathogens (disease-causing organisms); learning about communicable diseases: malaria, typhoid, cholera, tuberculosis",false
Jss 1,Summer Term,9,Physical and Health Education,"Effects of Diseases on Physical Activities",10-11,"Understanding how diseases affect athletic performance: weakness, reduced stamina, poor concentration, decreased participation",false
Jss 1,Summer Term,10,Physical and Health Education,"Disease Prevention Measures",10-11,"Learning prevention: adequate nutrition, exercise, clean environment, safe water, proper waste disposal, immunization, good hygiene, health education",false
Jss 1,Noel Term,1,Social Studies,"History of Social Studies in the United States and Europe",10-11,"Understanding how Social Studies was first conceived in the United States after world wars to help understand human problems",false
Jss 1,Noel Term,2,Social Studies,"Spread of Social Studies to Africa",10-11,"Learning about Mombasa conference in Kenya that promoted Social Studies education across African countries",false
Jss 1,Noel Term,3,Social Studies,"Introduction of Social Studies in Nigeria",10-11,"Understanding Aiyetoro Comprehensive High School Pilot Study and Ford Foundation's role in bringing Social Studies to Nigeria",false
Jss 1,Noel Term,4,Social Studies,"Growth of Social Studies in Nigeria",10-11,"Learning how former twelve states promoted Social Studies in educational institutions; current teaching in primary, secondary, colleges, universities",false
Jss 1,Noel Term,5,Social Studies,"Family as Primary Social Group: Meaning",10-11,"Understanding primary social group as close, personal, long-lasting relationships where members share concern, activities, and culture",false
Jss 1,Noel Term,6,Social Studies,"What Makes Family a Primary Social Group",10-11,"Learning why family is main unit of socialization; everyone belongs to a family; every society grows from family unit",false
Jss 1,Noel Term,7,Social Studies,"Roles of Family Members in Community",10-11,"Understanding family roles: working for community growth, contributing to economy, population growth, political participation (voting)",false
Jss 1,Noel Term,8,Social Studies,"Characteristics of Large Family Size",10-11,"Understanding large family: father, mother, and many children; learning consequences on quality of life and resources",false
Jss 1,Noel Term,9,Social Studies,"Characteristics of Small Family Size",10-11,"Understanding small family: father, mother, and few children; learning benefits like better care, education, financial stability",false
Jss 1,Noel Term,10,Social Studies,"Consequences of Family Size on National Economy",10-11,"Understanding how large families affect population growth, resource allocation, poverty; small families' impact on workforce and economy",false
Jss 1,Calvary Term,1,Social Studies,"Culture: Meaning and Definition",10-11,"Understanding culture as total way of life of people; learning it includes beliefs, customs, traditions, behaviors of a society",false
Jss 1,Calvary Term,2,Social Studies,"Components of Culture: Material Culture",10-11,"Learning about tangible aspects of culture: food, clothing, houses, tools, technology, crafts, artifacts people make and use",false
Jss 1,Calvary Term,3,Social Studies,"Components of Culture: Non-Material Culture",10-11,"Understanding intangible aspects: language, religion, beliefs, values, norms, customs, traditions, folklore, knowledge systems",false
Jss 1,Calvary Term,4,Social Studies,"Features and Characteristics of Culture",10-11,"Learning culture features (language, food, dressing, religion, technology); understanding culture is learned, guides behavior, allows variety",false
Jss 1,Calvary Term,5,Social Studies,"Cultural Similarities Among Nigerians",10-11,"Identifying common cultural traits: respect for elders, hospitality, communal living, naming ceremonies, marriage customs across ethnic groups",false
Jss 1,Calvary Term,6,Social Studies,"Cultural Differences in Nigeria",10-11,"Understanding diverse cultures: different languages, traditional attires, foods, festivals, dances, greetings among ethnic groups",false
Jss 1,Calvary Term,7,Social Studies,"Shared Norms and Values of Nigerians",10-11,"Learning common values: respect, honesty, hard work, religious tolerance, community spirit that unite Nigerians despite differences",false
Jss 1,Calvary Term,8,Social Studies,"Socialization: Meaning and Process",10-11,"Understanding socialization as lifelong process of learning norms, customs, values; acquiring skills to function in society",false
Jss 1,Calvary Term,9,Social Studies,"Agents of Socialization",10-11,"Learning about agents: family (primary), school, religious organizations, peer groups, media, age grades, clubs and societies",false
Jss 1,Calvary Term,10,Social Studies,"Importance of Socialization",10-11,"Understanding socialization teaches necessary skills, helps individuals function in society; most important learning process for social integration",false
Jss 1,Summer Term,1,Social Studies,"Road Safety Club: Structure and Formation",10-11,"Understanding structure and process of forming Road Safety Club in schools; learning organizational setup through organogram",false
Jss 1,Summer Term,2,Social Studies,"Roles of Road Safety Club in Youth Socialization",10-11,"Learning how Road Safety Club teaches discipline, safety awareness, civic responsibility, leadership skills to students",false
Jss 1,Summer Term,3,Social Studies,"Contemporary Social Problems in Nigeria",10-11,"Identifying common social problems: examination malpractice, cultism, HIV/AIDS, poverty, corruption, drug abuse in society",false
Jss 1,Summer Term,4,Social Studies,"Causes of Social Problems in Nigeria",10-11,"Understanding causes: poverty, corruption, lack of parental care, greed, unemployment, poor education, peer pressure",false
Jss 1,Summer Term,5,Social Studies,"Effects of Social Problems",10-11,"Learning effects: poverty, underdevelopment, insecurity, health issues, moral decay, economic problems, social instability",false
Jss 1,Summer Term,6,Social Studies,"Ways of Solving Social Problems",10-11,"Understanding solutions: government policies, civil society participation, personal discipline (contentment, loyalty, faithfulness), education, awareness",false
Jss 1,Summer Term,7,Social Studies,"Need for Safety in Our Communities",10-11,"Understanding why safety is important: preventing accidents, protecting lives and property, ensuring peace and security",false
