class,term,week,subject,topic,agegroup,context,generated
Year 1,Summer Term,7,Citizenship,"How to respect God and why",5-6,"",true
Year 1,Summer Term,8,Citizenship,"My role as a citizen -- community , school, home",5-6,"",true
Year 1,Summer Term,9,Citizenship,"My neighborhood and my neighbors",5-6,"",true
Year 1,Calvary Term,1,Computer Studies,"Printer: meaning, types and uses",5-6,"",true
Year 1,Calvary Term,2,Computer Studies,"ICT : meaning, ICT devices around us",5-6,"",true
Year 1,Calvary Term,3,Computer Studies,"ICT: how ICT shapes our lives/importance of ICT",5-6,"",true
Year 1,Calvary Term,4,Computer Studies,"ICT: introducing robots as a mode in ICT devices",5-6,"",true
Year 1,Calvary Term,5,Computer Studies,"GSM phone: meaning, parts and understanding what a SIM card does for mobile phone",5-6,"",true
Year 1,Calvary Term,6,Computer Studies,"GSM phone: uses of GSM phones",5-6,"",true
Year 1,Calvary Term,7,Computer Studies,"Mobile network operators: meaning, mobile network operators within and around",5-6,"",true
Year 1,Calvary Term,8,Computer Studies,"Mobile network operators: the work of mobile network operators",5-6,"",true
Year 1,Calvary Term,9,Computer Studies,"Computer etiquette",5-6,"",true
Year 1,Summer Term,1,Computer Studies,"Common devices -- laptop , tab calculator, wrist watch, palmtop and phones",5-6,"",true
Year 1,Summer Term,2,Computer Studies,"Smart phones -- meaning , parts, uses,( how smart are smart phones)",5-6,"",true
Year 1,Summer Term,3,Computer Studies,"Part of a mobile phone: examples and how it works",5-6,"",true
Year 1,Summer Term,4,Computer Studies,"How mouthpiece and earpiece works",5-6,"",true
Year 1,Summer Term,5,Computer Studies,"Basic steps in using a Computer Studies -- meaning of booting, how to switch/turn on a Computer Studies",5-6,"",true
Year 1,Summer Term,6,Computer Studies,"Common IT devices -- fax my, printer, scanner, light pen",5-6,"",true
Year 1,Summer Term,7,Computer Studies,"Radio and television: meaning, uses, types and how it operates",5-6,"",true
Year 1,Summer Term,8,Computer Studies,"Liquid dispenser -- water dispenser, fuel pumps",5-6,"",true
Year 1,Summer Term,9,Computer Studies,"A. T. M",5-6,"",true
Year 1,Calvary Term,1,Cultural and Creative Arts,"Drawing and painting: definition, drawing of craft work, drawing of things around us",5-6,"",true
Year 1,Calvary Term,2,Cultural and Creative Arts,"Printing ( leaf , yam, potatoes)",5-6,"",true
Year 1,Calvary Term,3,Cultural and Creative Arts,"Valentine's day decorations ( meaning of valentine day)",5-6,"",true
Year 1,Calvary Term,4,Cultural and Creative Arts,"Mother's day decorations (meaning of mother's day)",5-6,"",true
Year 1,Calvary Term,5,Cultural and Creative Arts,"Collage( meaning, using different color paper( shapes)",5-6,"",true
Year 1,Calvary Term,6,Cultural and Creative Arts,"Easter decorations ( meaning of Easter celebration)",5-6,"",true
Year 1,Calvary Term,7,Cultural and Creative Arts,"Traditional song/folk song( introduction to Nigeria folksongs, uses and functions of Nigerian traditional music: joy relaxation e.t.c",5-6,"",true
Year 1,Calvary Term,8,Cultural and Creative Arts,"Traditional dance( meaning, functions, types)",5-6,"",true
Year 1,Calvary Term,9,Cultural and Creative Arts,"Beads decorations ( practical)",5-6,"",true
Year 1,Summer Term,1,Cultural and Creative Arts,"Introduction to story telling: meaning, making up a story i.e folktale, role play",5-6,"",true
Year 1,Summer Term,2,Cultural and Creative Arts,"Ceremonies: meaning, types and importance",5-6,"",true
Year 1,Summer Term,3,Cultural and Creative Arts,"National art and cultural festivals: egungun festivals in Oyo state, Abuja carnival, dancers in Anambra state, Eyo masquerade in Lagos",5-6,"",true
Year 1,Summer Term,4,Cultural and Creative Arts,"Drawing and painting festivals and carnival",5-6,"",true
Year 1,Summer Term,5,Cultural and Creative Arts,"Modelling- simple objects meaning, types and examples",5-6,"",true
Year 1,Summer Term,6,Cultural and Creative Arts,"Mosaic: meaning, types and importance",5-6,"",true
Year 1,Summer Term,7,Cultural and Creative Arts,"Origami",5-6,"",true
Year 1,Summer Term,8,Cultural and Creative Arts,"End of the session class decorations",5-6,"",true
Year 1,Summer Term,9,Cultural and Creative Arts,"End of the session class decorations",5-6,"",true
Year 1,Calvary Term,1,Geography,"Rivers in Africa",5-6,"",true
Year 1,Calvary Term,2,Geography,"A map -- meaning of a map, functions of a map",5-6,"",true
Year 1,Calvary Term,3,Geography,"Mapping with colors -- our school, our home",5-6,"",true
Year 1,Calvary Term,4,Geography,"Natural resources -- meaning , natural resources found in Oyo state",5-6,"",true
Year 1,Calvary Term,5,Geography,"Land -- meaning of land, uses and benefits",5-6,"",true
Year 1,Calvary Term,6,Geography,"The air -- meaning , constituents and uses",5-6,"",true
Year 1,Calvary Term,7,Geography,"West African countries and capitals",5-6,"",true
Year 1,Calvary Term,8,Geography,"Natural resources in Oyo",5-6,"",true
Year 1,Calvary Term,9,Geography,"Rock -- meaning and types",5-6,"",true
Year 1,Summer Term,1,Geography,"Environment -- meaning , beautifying and importance",5-6,"",true
Year 1,Summer Term,2,Geography,"Weather -- meaning , types/seasons, effects of each weather",5-6,"",true
Year 1,Summer Term,3,Geography,"Countries and their weather",5-6,"",true
Year 1,Summer Term,4,Geography,"Pollution ( water, air, land ): meaning, types",5-6,"",true
Year 1,Summer Term,5,Geography,"Bush burning: meaning, advantages and disadvantages",5-6,"",true
Year 1,Summer Term,6,Geography,"Flood -- meaning , causes, effects and solutions",5-6,"",true
Year 1,Summer Term,7,Geography,"African countries and their capitals",5-6,"",true
Year 1,Summer Term,8,Geography,"Seasons around the world",5-6,"",true
Year 1,Summer Term,9,Geography,"Notable dates around the world",5-6,"",true
Year 1,Calvary Term,1,History,"Neighborhood: my neighbor at home and at school",5-6,"",true
Year 1,Calvary Term,2,History,"Important places in the community: school, market and at school",5-6,"",true
Year 1,Calvary Term,3,History,"Community leaders: meaning, roles and respect for community leaders",5-6,"",true
Year 1,Calvary Term,4,History,"National symbols: coat of arms, national flag and national pledge",5-6,"",true
Year 1,Calvary Term,5,History,"First election in Nigeria",5-6,"",true
Year 1,Calvary Term,6,History,"Christian missionaries in Nigeria",5-6,"",true
Year 1,Calvary Term,7,History,"Slave trade in Nigeria",5-6,"",true
Year 1,Calvary Term,8,History,"Bishop Samuel Ajayi Crowther",5-6,"",true
Year 1,Calvary Term,9,History,"Mother Teresa, David Livingstone",5-6,"",true
Year 1,Summer Term,1,History,"Nigeria before independence ( colonial era)",5-6,"",true
