class,term,week,subject,topic,agegroup,context,generated
Year 3,Calvary Term,7,Geography,"West African countries and capitals",7-8,"",true
Year 3,Calvary Term,8,Geography,"Natural resources in Africa ( African countries and their natural resources)",7-8,"",true
Year 3,Calvary Term,9,Geography,"Major export goods in Nigeria ( meaning and examples)",7-8,"",true
Year 3,Summer Term,1,Geography,"Overviews of Africa: African countries and capitals ( Anglophone, Francophone)",7-8,"",true
Year 3,Summer Term,2,Geography,"Natural disasters and man made disasters: meaning of natural and man made disasters, famine and drought",7-8,"",true
Year 3,Summer Term,3,Geography,"The rain forest",7-8,"",true
Year 3,Summer Term,4,Geography,"The four seasons",7-8,"",true
Year 3,Summer Term,5,Geography,"Important rivers, lakes, highlands in Africa: examples of rivers, highlands and lakes",7-8,"",true
Year 3,Summer Term,6,Geography,"Ozone layer",7-8,"",true
Year 3,Summer Term,7,Geography,"Major projects on a paper machine map of Africa",7-8,"",true
Year 3,Summer Term,8,Geography,"Organic farming: meaning of organic farming",7-8,"",true
Year 3,Calvary Term,1,History,"Early history of west African country -- history of Ghana, Senegal and Liberia",7-8,"",true
Year 3,Calvary Term,2,History,"British rule in Nigeria",7-8,"",true
Year 3,Calvary Term,3,History,"Nigeria first republic",7-8,"",true
Year 3,Calvary Term,4,History,"Nigeria decolonization and independence",7-8,"",true
Year 3,Calvary Term,5,History,"Nigeria monument",7-8,"",true
Year 3,Calvary Term,6,History,"Nigeria tourist sites -- Olumo rock, Ikogosi spring",7-8,"",true
Year 3,Calvary Term,7,History,"Nigeria early heroes and heroines -- sir Ahmadu Bello, King Jaja of Opobo",7-8,"",true
Year 3,Calvary Term,8,History,"Nigeria early heroes and heroines -- Nnamdi Azikwe, Nana Olumo of Itsekiri",7-8,"",true
Year 3,Calvary Term,9,History,"History of Ogbomoso land / Excursion to Soun palace",7-8,"",true
Year 3,Summer Term,1,History,"History: meaning of history, types, importance of history",7-8,"",true
Year 3,Summer Term,2,History,"The beginning of history -- the primitive man, the storage, the discovery of fire",7-8,"",true
Year 3,Summer Term,3,History,"The history of Ethiopia",7-8,"",true
Year 3,Summer Term,4,History,"The Kenyans:- The Kikuyu The Massai",7-8,"",true
Year 3,Summer Term,5,History,"South Africa:- The Zulus The bushman The Hottentot",7-8,"",true
Year 3,Summer Term,6,History,"Some ancient towns in Nigeria: Oyo, Onitsha, Kano, Calabar",7-8,"",true
Year 3,Summer Term,7,History,"Modern towns in Nigeria (cities): Port Harcourt, Abuja, Lagos, Kaduna, Ibadan",7-8,"",true
