class,term,week,subject,topic,agegroup,context,generated
Year 5,Summer Term,8,Home Economics,"Cosmetics and deodorant: meaning, materials and importance",9-10,"",true
Year 5,Summer Term,9,Home Economics,"Practical",9-10,"",true
Year 5,Calvary Term,1,Literacy,"Complex sentences",9-10,"",true
Year 5,Calvary Term,2,Literacy,"Phrasal verbs",9-10,"",true
Year 5,Calvary Term,3,Literacy,"Pronouns- meaning, types and examples",9-10,"",true
Year 5,Calvary Term,4,Literacy,"Noun phrase",9-10,"",true
Year 5,Calvary Term,5,Literacy,"Expressing consequences or cause and effect with the use of 'so that'",9-10,"",true
Year 5,Calvary Term,6,Literacy,"Letter writing",9-10,"",true
Year 5,Calvary Term,7,Literacy,"Developing poetic skills -- creating rhyming words, writing poem with rhyming words",9-10,"",true
Year 5,Calvary Term,8,Literacy,"Sentence building",9-10,"",true
Year 5,Calvary Term,9,Literacy,"Contracting sentences",9-10,"",true
Year 5,Summer Term,1,Literacy,"Punctuation",9-10,"",true
Year 5,Summer Term,2,Literacy,"The use of comma's in complex sentences",9-10,"",true
Year 5,Summer Term,3,Literacy,"Idiomatic expressions and proverbs",9-10,"",true
Year 5,Summer Term,4,Literacy,"Synonyms and antonyms",9-10,"",true
Year 5,Summer Term,5,Literacy,"Homonyms and homophones",9-10,"",true
Year 5,Summer Term,6,Literacy,"Phrases and clauses",9-10,"",true
Year 5,Summer Term,7,Literacy,"Connectives",9-10,"",true
Year 5,Summer Term,8,Literacy,"Figure of speech",9-10,"",true
Year 5,Summer Term,9,Literacy,"Essay writing",9-10,"",true
Year 5,Calvary Term,1,Moral Instructions,"Time management",9-10,"",true
Year 5,Calvary Term,2,Moral Instructions,"Chastity",9-10,"",true
Year 5,Calvary Term,3,Moral Instructions,"Addiction",9-10,"",true
Year 5,Calvary Term,4,Moral Instructions,"Emotional balance",9-10,"",true
Year 5,Calvary Term,5,Moral Instructions,"Patriotism",9-10,"",true
Year 5,Calvary Term,6,Moral Instructions,"Examination malpractices",9-10,"",true
Year 5,Calvary Term,7,Moral Instructions,"Handling disappointment",9-10,"",true
Year 5,Calvary Term,8,Moral Instructions,"Humility",9-10,"",true
Year 5,Calvary Term,9,Moral Instructions,"Purposeful living",9-10,"",true
Year 5,Summer Term,1,Moral Instructions,"The value of hard work ( 2 Thessalonians 3:6-15)",9-10,"",true
Year 5,Summer Term,2,Moral Instructions,"Moderation (James 3:2-12)",9-10,"",true
Year 5,Summer Term,3,Moral Instructions,"Moderation in dressing",9-10,"",true
Year 5,Summer Term,4,Moral Instructions,"Lust",9-10,"",true
Year 5,Summer Term,5,Moral Instructions,"Temptations",9-10,"",true
Year 5,Summer Term,6,Moral Instructions,"Corruption",9-10,"",true
Year 5,Summer Term,7,Moral Instructions,"Injustice",9-10,"",true
Year 5,Summer Term,8,Moral Instructions,"Discipline",9-10,"",true
Year 5,Summer Term,9,Moral Instructions,"Disciplinary measures in school",9-10,"",true
Year 5,Calvary Term,1,Numeracy,"Order of operations (BODMAS): understanding BODMAS as a way ordering mathematical operations, solving problems using BODMAS",9-10,"",true
Year 5,Calvary Term,2,Numeracy,"Indices (power): writing numbers in index from multiplying numbers using the index form (e.g 20× 63= ( 2²× 5) × (3² ×7)",9-10,"",true
Year 5,Calvary Term,3,Numeracy,"Ratio and percentage: expressing a number as a % of another number, profit and loss percent ( finding profit & loss percentage in a given problem)",9-10,"",true
Year 5,Calvary Term,4,Numeracy,"Open sentences: interpreting & solving word problems (e.g 60 oranges are divided equally in 3 baskets, how many are in one basket)",9-10,"",true
Year 5,Calvary Term,5,Numeracy,"Money, population, economics and conversion of currencies: tax rates, rents, buying and selling of shares and dividends - Use of calculator in converting of currencies",9-10,"",true
Year 5,Calvary Term,6,Numeracy,"Time: timing in minutes and seconds, reading timetables of journeys",9-10,"",true
Year 5,Calvary Term,7,Numeracy,"Perimeter: meaning, perimeter of a rectangle, of regular and irregular shapes",9-10,"",true
Year 5,Calvary Term,8,Numeracy,"Area: area of trapezium and other figures",9-10,"",true
Year 5,Calvary Term,9,Numeracy,"Length: measuring lengths, angles and the use of Pythagoras rule",9-10,"",true
Year 5,Summer Term,1,Numeracy,"Rate: speed, distance and time",9-10,"",true
Year 5,Summer Term,2,Numeracy,"Taxes and rate -- income tax",9-10,"",true
Year 5,Summer Term,3,Numeracy,"Capacity and weight : conversion, addition, subtraction, multiplication and division, word problems",9-10,"",true
Year 5,Summer Term,4,Numeracy,"Algebra: factorization, four operation, forming simple equation, use of brackets, word problems",9-10,"",true
Year 5,Summer Term,5,Numeracy,"Lines and angles: lines, triangles, mathematical problems on lines, ( opposite, corresponding angles) and angles",9-10,"",true
Year 5,Summer Term,6,Numeracy,"Length and Pythagoras theorem",9-10,"",true
Year 5,Summer Term,7,Numeracy,"Geometry: position, direction, motion, properties of plane and solid shapes",9-10,"",true
Year 5,Summer Term,8,Numeracy,"Compound interest",9-10,"",true
Year 5,Summer Term,9,Numeracy,"Number base: denary or decimal base, counting in base two, conversion from binary to decimal system, conversion from decimal to binary system. Addition and subtraction in base two",9-10,"",true
Year 5,Calvary Term,1,Physical and Health Education,"P- hockey H- nutrition: meaning of nutrition, meaning of food, sources of nutrition",9-10,"",true
Year 5,Calvary Term,2,Physical and Health Education,"P- recreation: meaning, importance, components of recreational activities H- nutritional deficiency: meaning, examples, prevention",9-10,"",true
Year 5,Calvary Term,3,Physical and Health Education,"P- martial art : meaning, types and importance H- Heart diseases : meaning, examples and prevention",9-10,"",true
Year 5,Calvary Term,4,Physical and Health Education,"P- judo rules and skills H- Respiratory diseases: meaning, examples and prevention",9-10,"",true
Year 5,Calvary Term,5,Physical and Health Education,"P- introduction to direction: the significance of four cardinal point H- eye health: meaning of vision, importance of vision, care of the eyes",9-10,"",true
Year 5,Calvary Term,6,Physical and Health Education,"P- sports facilities and equipment: examples, maintenance of sports facilities and equipment H- drug abuse: meaning, consequences of drug abuse on individuals, family and society",9-10,"",true
Year 5,Calvary Term,7,Physical and Health Education,"P- track event: long distance races and relay race H- school health program: meaning, components and importance",9-10,"",true
Year 5,Calvary Term,8,Physical and Health Education,"P- long jump -- basic skills, rules and regulations H- drug education: meaning of drugs, examples, importance of drug",9-10,"",true
Year 5,Calvary Term,9,Physical and Health Education,"P- shuttle relay: meaning H- the immune system: meaning and functions",9-10,"",true
Year 5,Summer Term,1,Physical and Health Education,"P- dodging H- agencies and organization of health",9-10,"",true
Year 5,Summer Term,2,Physical and Health Education,"P- crab walk H- professional health worker and their importance to the community",9-10,"",true
Year 5,Summer Term,3,Physical and Health Education,"P- cart wheels H- safety and precautionary measures against accident",9-10,"",true
Year 5,Summer Term,4,Physical and Health Education,"P- press up H- smoking and its harmful effects",9-10,"",true
Year 5,Summer Term,5,Physical and Health Education,"P- sit up H- wounds and its types",9-10,"",true
Year 5,Summer Term,6,Physical and Health Education,"P- badminton skills -- long and short service, back hand, fore hand skills H -- sprain, signs and symptoms",9-10,"",true
Year 5,Summer Term,7,Physical and Health Education,"P- table tennis- fore hand service H- strain and causes",9-10,"",true
Year 5,Summer Term,8,Physical and Health Education,"P- table tennis- back hand service H- dislocation signs and symptoms of dislocation",9-10,"",true
Year 5,Summer Term,9,Physical and Health Education,"P- singles and doubles in table tennis H- fracture and types of fracture",9-10,"",true
Year 5,Calvary Term,1,Social Studies,"Interpersonal relationships ( concept of healthy boy-girl relationship, ways to maintain healthy boys-girls relationship",9-10,"",true
Year 5,Calvary Term,2,Social Studies,"Pressure groups: meaning, importance of pressure group in the society",9-10,"",true
Year 5,Calvary Term,3,Social Studies,"Religious differences: meaning and effects in the society",9-10,"",true
Year 5,Calvary Term,4,Social Studies,"Ethnic groups: concepts of ethnic groups, understanding the meaning of lingua franca, types of ethnic groups",9-10,"",true
